点赞数,转发数,热度指数,文章评级,浏览量
1216,832,5,5,118502
1670,1670,7,5,240004
1040,NaN,3,4,93503
1297,1297,5,6,153002
1250,625,7,5,171905
1989,1065,8,5,255005
1604,1604,7,5,220003
1701,1390,5,5,171005
864,864,3,3,58503
1214,672,3,4,105004
2450,1284,8,5,340001
1344,1344,7,5,206301
1682,1304,7,6,174003
1337,1337,7,5,185004
2482,1094,8,5,281215
1559,1559,5,6,153505
1088,1074,8,5,170004
1526,1216,5,6,144505
835,458,5,5,83003
2468,1136,8,5,354004
1929,1057,7,5,226001
1961,804,6,5,215001
1710,856,7,5,208504
910,105,5,7,116003
1518,1518,8,5,274004
1144,1144,5,5,124004
1512,756,6,5,168502
1134,756,5,6,126005
2447,804,6,7,169005
952,952,6,6,121005
1122,924,5,7,147001
1836,1860,7,5,216840
1656,660,5,7,135002
1118,1096,6,6,171003
2196,2158,7,7,271903
1131,676,5,6,66504
1405,1405,7,5,171751
2452,1028,8,5,267005
2127,1104,7,5,238001
1092,1092,5,5,141004
1694,1694,8,5,245354
1365,765,5,6,125001
1352,1062,5,4,130003
2046,998,7,5,284001
1402,1258,7,5,194202
1077,1007,3,4,91002
864,864,4,6,120502
930,NaN,4,7,84902
816,816,5,5,110004
1595,940,6,5,140004
1800,1800,5,4,141002
1040,1040,5,5,133002
1717,1156,7,5,187502
970,970,5,6,132501
1100,1100,4,5,141003
1431,1431,7,5,192003
2108,1127,6,7,235001
2344,1264,7,5,265001
2263,1055,8,5,287002
708,420,4,7,82504
1940,1930,9,5,395195
773,773,5,5,110001
2728,1848,9,5,437159
1560,1560,7,5,201001
1795,1050,5,5,131504
1002,1002,5,6,148503
923,876,5,5,119501
1256,1256,5,6,147505
789,768,5,5,96505
1128,936,5,5,118002
1855,528,6,7,187002
1768,884,7,5,224904
1196,684,6,8,110004
1742,1742,8,5,275001
1484,742,6,5,174003
1098,1098,5,7,135005
1746,1746,9,5,377504
1144,1144,5,6,143004
1720,840,7,5,183503
1215,1215,6,7,155005
1230,440,5,6,110001
2020,1128,8,5,239501
1486,1486,5,7,167005
848,848,6,5,155902
1484,783,6,5,178903
1362,611,6,8,128003
2462,1392,7,5,320005
1054,1054,6,8,151001
1041,1041,5,6,124503
1226,1226,7,5,198901
1048,993,5,6,113004
1987,1986,8,5,301503
1911,777,8,5,215001
1501,744,7,5,179405
858,858,4,6,110001
1646,1638,8,5,293082
2201,697,6,7,274973
1768,866,7,5,226701
1533,1533,7,5,280005
816,816,6,8,120504
996,996,5,6,108002
1194,1194,6,6,148004
1674,1163,6,7,185003
938,938,5,6,130251
1374,840,4,6,105003
1742,916,8,9,168004
1954,798,7,9,311501
1786,824,6,5,204753
1445,1127,6,6,158005
1698,1698,9,5,320001
1198,901,6,7,79902
1422,978,5,5,139905
1468,1468,8,5,244604
2262,1482,8,5,305004
1230,747,4,7,121602
1792,936,6,5,186501
2828,1466,8,5,424874
972,972,6,6,132002
1668,1626,9,5,285005
1236,912,6,7,149702
1728,1728,6,5,150905
1904,1208,5,4,138005
1095,588,6,5,140004
1456,810,5,3,91501
1097,1097,5,5,145003
768,768,5,7,129504
845,NaN,4,3,84001
1368,684,6,7,114506
2167,1192,7,7,294002
900,864,5,5,123001
932,932,6,5,124004
1426,912,7,8,189953
796,796,4,4,55002
2259,1809,6,5,217004
1852,1004,8,5,230003
616,616,5,7,89003
1218,672,6,5,113005
2452,1117,8,5,309002
2020,NaN,5,5,144002
3222,1673,7,5,320002
605,528,4,7,86001
1092,546,4,5,75002
894,894,5,8,138505
1347,1117,5,7,107501
2084,956,7,5,233005
1694,1694,8,5,318001
2345,952,6,8,239002
1422,1422,6,6,175505
1214,1214,5,5,143002
1382,720,5,6,128501
1902,NaN,6,5,112003
1416,696,7,5,155003
1839,1195,7,5,221005
1358,1358,7,5,207001
1363,1008,5,7,164904
1050,1050,5,6,128904
1092,546,4,5,83502
1459,1459,7,5,192003
864,864,5,5,129904
2633,2633,10,5,466501
1040,NaN,5,7,109502
630,630,4,7,81005
1395,723,6,6,162005
630,630,4,6,75505
1824,912,6,5,139001
1840,944,7,5,230003
2263,795,7,7,235002
1539,927,5,6,141504
864,864,4,6,97003
1060,1060,5,8,154003
1411,1386,7,5,82504
913,814,6,5,129001
2090,1220,8,5,240001
1040,NaN,3,4,92901
1490,788,7,5,184003
1530,1530,7,5,259004
1560,684,6,5,174001
2021,868,7,5,274728
882,882,4,6,103203
980,945,6,5,127502
1734,1734,8,5,318004
2358,684,8,5,122002
882,882,5,5,112505
1453,1453,7,5,190001
894,894,5,5,125003
1555,1373,7,5,174001
1709,970,7,5,137505
894,894,3,4,81004
1466,796,5,8,170005
2076,2076,10,5,465005
1756,872,6,5,204005
990,990,4,5,123602
1128,1120,5,6,155005
1764,928,6,5,231502
1588,1588,8,5,227004
1694,1686,8,5,307003
1432,716,7,5,188505
1487,735,6,4,113001
1004,1004,6,7,149001
1268,1268,5,6,132002
1382,1362,6,5,176002
1481,702,6,5,174005
1154,796,4,8,125502
861,861,4,5,82505
1144,1144,5,6,129005
1768,866,8,5,212002
774,544,3,6,79003
1344,1024,5,5,144003
816,816,6,5,118503
1218,672,6,5,91502
2138,849,5,5,106003
1287,1063,5,7,162003
2643,2153,9,5,380003
925,925,5,6,117501
1056,1056,5,6,142004
1135,560,7,9,155002
1028,1008,5,6,115002
848,848,6,5,140002
1158,862,6,7,120001
630,630,4,6,84502
2098,1030,8,5,275504
907,907,4,6,109012
2555,588,6,7,191002
1768,1768,4,5,136504
2090,1107,7,6,200005
2144,1444,6,7,277001
1228,1228,5,6,149351
1039,1039,5,4,131504
1190,1106,5,6,132505
1796,780,6,5,140004
1552,713,6,6,179905
1218,735,6,6,131001
1663,1364,4,6,256002
1578,1573,8,5,287093
2054,992,6,5,244004
2126,1013,5,5,185003
864,864,4,5,141001
1322,855,6,5,147004
2526,714,6,7,136002
2448,1629,8,7,402004
1968,784,5,4,172004
767,723,7,5,133005
1550,1092,7,5,241005
1660,715,6,7,188701
1935,793,7,7,197904
1576,1324,5,6,223503
2093,791,7,6,215002
1574,1574,8,5,232003
2403,1032,7,7,244404
1416,876,5,8,153903
996,936,6,6,147004
1200,1200,5,5,179002
948,864,4,5,111005
1163,1162,3,8,126180
882,NaN,5,7,106503
988,462,4,5,91003
1610,1610,6,7,205001
1360,1220,8,5,187501
985,985,5,8,149904
1120,1040,4,5,129005
1713,1713,8,5,274901
2374,1181,8,5,285001
1068,1059,6,8,154503
1664,832,7,5,162904
2172,1063,7,5,280004
1131,907,4,7,89474
1484,1476,8,5,265903
2022,1160,7,5,192003
1452,691,7,5,183905
1724,880,7,5,188001
1484,1484,5,6,175002
1948,847,7,5,195005
1248,912,5,5,87003
1714,980,7,5,196501
2872,1683,8,5,285004
1221,1221,7,5,185001
1600,916,6,5,169003
1719,1719,8,5,324002
1008,1008,5,7,134502
1573,1078,5,7,162903
1155,1109,5,7,148002
1484,1473,7,5,213003
1208,1187,7,5,206002
1294,1278,6,5,179202
958,1078,6,5,128003
2158,1202,6,7,243001
2019,728,7,8,167503
1337,1405,6,5,181001
764,680,5,5,73003
1456,855,6,5,146003
1111,530,5,7,101004
1324,1324,8,5,254005
1629,3206,8,5,284004
1472,702,5,8,125004
864,864,5,8,129004
1554,1554,8,5,209503
2296,1722,10,5,451951
1505,1505,6,4,149503
1958,1026,7,5,250004
1795,1795,8,5,147004
1484,742,6,6,128001
1178,859,4,7,102777
2715,1142,8,9,299803
1372,1372,7,5,250584
1309,1040,6,6,181001
2727,853,8,8,315002
2080,1276,7,9,234002
2058,735,6,5,129501
1073,1073,5,7,156004
630,630,5,7,92005
1032,1032,6,6,148002
1268,1268,5,7,143501
1800,982,6,5,179003
2519,1210,7,5,335005
1392,1392,5,6,121502
1734,NaN,5,5,126003
1718,1700,10,5,337504
2080,1040,5,5,135003
1651,1606,6,5,184001
1620,1281,4,4,150002
1640,1296,6,7,224005
2978,710,7,7,242002
1376,780,6,6,119503
1113,1143,6,7,148004
1200,1200,6,5,125001
1440,1440,4,4,118005
1336,637,4,6,108001
1346,560,4,7,112003
1340,NaN,5,6,120002
1368,1368,7,5,202667
1524,874,5,5,144004
1496,654,7,5,179670
1928,847,7,5,219501
2295,1095,7,5,268001
3140,1926,9,5,485005
1181,1138,4,5,137501
1479,1468,7,5,191001
1590,768,8,5,210005
936,936,5,7,129004
1040,1040,5,5,133703
1414,1375,7,5,178745
1790,873,7,5,193004
1869,1869,9,5,318062
1630,1630,7,5,213005
1339,1029,5,6,139002
1666,588,8,7,161004
1478,1478,6,5,157501
1539,650,5,8,157505
1080,1080,6,7,136003
1656,1656,5,5,135003
1040,1040,5,5,124002
1573,1573,7,5,227001
1320,1164,5,6,164502
1240,1240,7,5,194005
1194,655,6,6,159503
904,884,6,7,119004
1839,1477,6,7,257502
1567,1567,6,5,196005
1494,1482,7,5,215002
1577,972,6,5,140203
2013,1117,7,5,269791
833,833,5,7,117001
2380,1021,6,5,129005
1456,1273,8,5,215003
1734,912,6,7,159001
1152,1152,5,7,180501
2046,2046,8,5,372503
1152,NaN,4,5,82003
2183,1204,7,5,229004
1340,1340,7,5,181135
1567,1520,8,5,264564
816,816,5,7,124504
1252,504,5,8,127002
2340,1152,7,9,266504
1128,698,4,4,68404
1456,855,6,6,148502
1494,1479,6,5,217002
2008,896,5,8,225002
987,483,6,5,100003
1626,764,7,5,175504
2207,1947,7,5,180004
789,789,5,5,115001
1959,847,7,5,215004
1652,686,5,6,139003
928,928,5,6,112505
1118,648,6,8,116002
1632,800,6,8,173001
1969,808,7,6,190004
1895,712,7,5,194504
1165,1127,6,7,174903
1767,1064,7,7,239003
864,864,5,6,98005
904,683,1,1,61003
1040,NaN,4,5,90001
1125,1041,6,6,125003
1320,660,7,5,162001
1456,728,7,5,155836
2020,2006,10,5,402864
954,920,5,7,119751
1430,384,7,5,170004
1639,1064,6,5,115003
803,720,5,6,87001
1446,729,7,5,175001
1700,1682,6,5,200001
951,951,4,6,106505
1357,1019,6,7,177001
1959,1907,7,5,171005
1145,1145,7,5,160202
2097,1080,7,5,228005
1502,602,6,7,165001
1904,1058,8,5,275003
1509,783,7,5,180001
2090,1190,7,5,207504
816,816,5,7,129903
1334,1350,6,5,167902
1708,976,7,5,130005
1844,1844,6,5,223005
1661,992,6,6,165503
1913,896,6,6,177004
848,848,6,5,131502
1200,600,7,5,151005
1391,1391,7,5,196001
1779,1763,5,4,170005
1458,729,6,5,176005
1658,773,6,5,188002
1301,1293,7,5,187751
1412,616,6,5,156937
1571,1571,8,5,239001
1876,901,6,6,185002
2042,2042,8,5,253296
768,768,5,8,133901
960,960,4,5,129005
1392,1392,6,3,110005
1291,1291,6,5,173004
1288,1260,8,5,245502
2198,1145,8,5,250001
894,894,5,6,128202
1252,600,7,5,160003
1200,600,7,5,144155
1015,768,5,7,88002
1774,952,7,5,129903
1828,1822,9,5,314818
520,520,4,6,68505
1250,661,5,6,139002
3194,965,8,6,359103
1108,637,7,7,139402
1441,776,8,5,174004
924,672,4,4,80002
1056,1056,5,5,145005
1306,728,3,2,76501
1378,689,7,9,161003
1067,1067,4,7,128002
1478,1478,6,3,156504
1690,924,6,5,181003
1236,912,5,7,135004
1786,920,7,5,223505
1026,940,6,6,147004
1338,1338,8,5,213504
1111,616,5,6,95003
2320,1028,6,8,259503
1456,728,6,5,172789
1298,1298,6,5,180005
1152,1092,6,8,158505
1342,1372,6,5,161502
1211,952,5,5,134005
1665,813,7,6,205952
1406,319,6,7,89504
864,864,5,6,133502
1310,1310,7,5,164994
1183,649,3,7,120005
3493,1470,7,9,295002
2612,1225,8,5,336001
1792,1792,9,5,374002
1844,1844,8,5,257004
944,NaN,3,3,82002
2358,907,6,8,240003
1646,1594,8,5,275001
2127,1223,7,5,271004
1792,896,5,5,136003
1505,883,5,5,145003
630,630,4,4,80005
1117,1029,6,5,107003
864,864,5,7,115002
1644,728,5,7,146501
1479,725,7,9,184002
1337,1237,6,5,153502
1728,1728,5,5,142601
1983,978,7,5,225001
1724,1680,6,5,197903
2365,1252,8,5,337005
1113,1113,5,7,147005
2466,1580,8,5,340001
1850,1833,9,5,326003
2792,1510,6,7,256001
894,894,4,5,110005
2060,1151,6,5,211001
987,483,6,5,83005
893,845,5,7,135001
2414,954,5,4,160001
1684,1684,9,5,266003
1360,384,5,5,130002
1150,1150,5,6,141005
894,864,5,5,142505
1922,1922,9,5,377431
2087,832,6,8,187505
1844,1844,6,6,190004
1646,1638,8,5,248903
1992,1053,8,5,250001
1200,600,7,5,151002
1824,764,6,6,180504
480,480,2,3,35314
1915,908,8,5,220004
882,NaN,5,5,97004
1850,973,7,6,248001
1200,1200,6,5,177502
1159,1051,5,5,158004
1566,1566,8,5,262504
1269,1269,5,6,155005
1820,864,7,6,201803
1506,1362,7,5,213491
1479,725,6,8,130505
1442,910,7,5,179902
1668,1657,8,5,232004
2784,1392,7,5,250004
1360,803,5,6,125502
1344,546,4,6,97002
1750,636,5,6,124001
1716,768,5,4,131004
848,848,6,5,144502
1842,1842,9,5,385002
1192,596,5,5,78001
1647,953,6,5,175003
1229,1134,4,6,135002
1784,747,5,5,138888
1363,1385,7,7,241503
1224,1224,6,5,165002
1212,1212,7,5,178004
1517,792,8,7,230005
1456,728,6,5,176005
2640,1240,7,7,265980
2713,1452,9,5,446265
2097,1108,7,6,274304
1124,NaN,5,5,93003
1383,1383,5,5,165001
334,NaN,1,3,39302
1132,1132,4,5,176001
1867,1617,5,5,190003
1933,894,6,5,214001
1146,868,7,5,187505
1535,NaN,5,5,118966
2945,1410,10,5,438783
2596,1249,9,5,342647
1092,546,4,4,88001
2256,952,7,5,236005
800,264,2,3,60004
2260,1306,7,5,328003
1604,926,6,5,181004
1482,384,7,5,163901
952,952,5,7,139001
960,672,4,3,112004
1717,1709,8,5,255501
912,912,5,6,144001
1626,764,7,5,173004
1605,840,3,6,107405
1855,994,6,4,136902
1500,1356,7,5,246582
1304,264,5,6,115005
2872,1330,6,7,272003
1344,896,5,4,115001
1301,1145,5,5,100004
1429,1144,6,6,181905
1148,980,5,7,123505
948,948,5,5,108002
1167,915,5,5,144003
2060,992,7,5,214004
1576,770,7,5,197004
1556,727,6,6,154003
848,848,6,5,144004
2634,1248,5,5,200004
1336,1165,5,5,157005
1314,1314,7,5,207502
3082,824,7,3,197005
1811,1073,6,7,230002
1696,1140,5,5,143905
1796,794,6,5,211004
1600,1566,8,5,256302
1020,780,5,8,94001
1839,756,6,5,155005
1861,916,7,5,200004
1944,1896,9,5,360002
1476,738,6,5,173502
1845,1055,6,5,189005
1355,684,6,7,127004
1510,755,4,5,108004
1620,1620,9,5,315503
768,768,5,7,133001
858,858,4,4,88005
1466,1466,5,4,149903
1894,817,7,5,214903
1069,1069,6,5,127502
1072,547,6,5,140003
1144,864,5,6,131405
1498,1498,7,5,204903
1121,1121,5,6,139001
1005,1005,4,5,115001
1771,NaN,5,4,115004
1558,910,5,5,152004
1977,816,6,6,165005
864,864,6,6,127504
752,744,6,5,125002
1652,1652,9,5,325001
1123,732,4,5,100005
990,990,5,5,156003
1389,1389,5,5,170003
1699,978,3,5,95003
1588,NaN,4,4,134436
1466,1466,8,5,201004
1328,686,4,4,107002
1176,698,6,9,134904
2898,1565,8,6,287005
1180,700,4,5,137504
1702,1702,9,5,367296
825,825,5,7,125003
864,864,5,5,62387
1919,1079,8,5,233234
1593,1593,8,5,286002
1224,612,6,5,173734
1716,880,7,5,191002
2184,1104,9,5,335002
1474,384,7,5,168503
1437,1437,5,8,218001
1574,796,6,5,190002
1620,780,5,5,152004
1776,1584,5,5,110001
864,864,4,6,120505
864,864,5,7,128501
1040,1040,5,5,129502
858,858,5,5,134903
988,876,5,7,119003
960,648,4,9,145003
1691,1026,5,6,127005
1414,707,8,5,178004
1004,975,6,5,135003
672,672,5,8,108002
1683,918,6,5,172501
1416,816,5,7,112004
1494,1494,8,5,270004
1109,372,5,7,139005
1137,1112,6,6,176003
1265,1219,5,8,179903
1976,1976,8,5,440002
1838,732,5,5,192142
1006,1006,5,3,80003
784,784,5,6,109505
1614,1614,7,5,221502
1328,1350,5,6,170003
1040,1040,5,7,150503
2810,1453,8,5,302002
892,864,5,5,110004
1176,816,6,6,114502
1419,408,8,5,184103
1306,1306,6,5,196005
2112,952,6,5,206905
2169,1284,8,5,228501
884,840,5,7,144003
1661,1649,7,5,224905
1656,746,7,5,165402
1502,1502,7,5,233174
672,672,4,6,113001
1496,1496,8,5,225004
3228,3200,8,5,430002
816,816,5,9,130503
912,912,5,5,114504
988,938,6,5,180002
1523,1193,6,5,180002
999,944,7,9,178405
1082,1082,6,5,119202
2270,1152,8,7,290004
1608,976,6,6,137453
1218,672,6,7,118005
2229,755,6,6,104002
1314,1314,6,5,176436
1269,1256,8,5,192005
2614,1522,6,7,240003
1644,1518,7,5,275001
1529,NaN,4,3,98004
1557,1374,7,5,234001
1768,731,5,7,175003
1294,1286,7,5,193882
1602,1602,6,7,215005
1616,1616,7,5,232003
2372,994,5,4,107504
1214,1214,5,7,140002
1126,NaN,4,5,108004
1200,864,5,8,146003
1142,1142,5,5,134003
1640,798,7,5,183005
1504,1346,7,5,191005
790,768,6,5,91003
935,742,5,6,79501
1026,1026,6,8,156003
2082,1362,7,5,200004
1601,1271,7,5,157004
1689,1689,7,6,248329
1660,831,7,5,195005
1414,1414,7,5,185504
1154,1154,5,6,154003
1710,832,6,5,187003
2110,948,7,5,205001
2134,844,6,6,214502
1365,765,5,5,122503
1277,1277,7,5,167004
1428,1417,7,5,227683
813,813,6,8,110001
848,848,6,5,143002
936,936,5,5,140001
2610,1184,8,5,303479
1573,884,4,7,133003
2520,1203,7,5,290004
2031,1128,8,5,237005
2057,1017,7,7,250005
894,894,5,5,123002
1072,547,5,5,145002
1728,1728,5,4,119001
816,816,5,8,138003
1099,1099,5,6,144005
1688,616,6,5,200005
869,440,4,7,85504
1647,1430,5,6,217503
1632,1632,5,4,143001
1928,1020,6,8,137003
1316,1316,7,5,200144
1246,1246,5,7,154003
1114,1114,5,5,159002
1069,1069,6,6,140003
1382,1051,4,5,148004
1426,690,6,6,159501
2117,1205,6,7,237501
1558,913,5,6,140003
1310,617,6,6,112002
1584,1584,5,5,124005
1593,808,6,5,178004
1102,551,7,5,148801
1526,1013,3,2,85001
1776,1732,8,5,283465
1339,1309,7,5,180004
1130,1120,5,6,120001
912,912,5,5,125001
854,832,7,8,132002
1812,360,5,9,140002
1422,1422,7,5,179604
1739,970,8,5,172505
958,958,6,6,143754
1818,1040,7,4,169505
1266,1266,7,5,159896
1317,649,4,4,40005
1126,1126,5,6,175004
1140,576,4,7,96504
1362,1362,6,5,163003
1047,641,4,7,100005
1470,794,6,6,177004
1674,814,7,5,216001
1622,1249,4,4,168001
1964,940,5,6,130001
924,924,5,6,110004
1582,770,7,5,185904
792,768,5,8,109505
2290,1128,8,5,255903
1040,NaN,4,5,109905
2624,1370,6,6,239004
1852,900,7,5,252681
986,960,6,5,102005
1203,709,5,4,110002
1258,1258,6,7,145005
1939,1095,8,5,266005
1138,588,6,8,145003
990,990,5,5,138005
1199,1199,6,5,153903
1694,1181,6,5,136504
860,840,5,6,137002
1140,1140,5,5,84501
2223,2223,7,6,244001
1056,1056,6,5,144002
1993,825,6,5,190004
841,721,4,4,82001
1440,1440,6,7,182904
1475,757,5,6,127002
1250,686,5,7,116001
1616,1149,6,7,152001
1800,1800,9,5,239004
1721,928,6,5,201001
1902,1902,7,8,335004
1494,1494,7,5,221002
875,715,5,7,105004
1775,740,7,5,213003
4476,2396,10,5,745001
1078,1078,5,6,142126
1960,860,6,5,216503
1158,1158,6,5,158002
2576,1234,8,5,361923
1958,979,6,6,145003
955,955,5,7,127005
2285,969,8,5,248002
3447,728,8,9,381001
1262,1262,6,5,185002
1863,879,7,5,219211
1656,1080,6,5,215005
969,969,5,6,122003
1442,1442,6,6,185001
1302,630,5,5,112001
935,935,5,6,137002
1912,482,6,7,163005
1501,697,6,5,165604
1381,1161,6,7,197501
1065,1065,5,5,126501
1635,1065,6,7,210003
1865,992,7,5,235001
1208,780,4,5,103005
1726,1726,7,5,311877
952,952,4,7,135751
1200,1176,7,5,184901
1548,952,7,7,205004
990,990,5,5,126001
1680,1680,5,6,136910
1856,1856,9,2,394436
1224,818,6,8,115001
988,988,5,5,128502
1520,793,5,5,159437
2398,1379,7,5,315752
1074,1056,5,6,153504
1314,1314,5,6,145002
1296,1267,8,5,220004
1060,1040,5,7,129901
1500,1500,7,5,190003
1664,953,6,5,172405
848,848,6,5,149001
2153,1440,9,5,313002
1363,622,4,7,125502
1092,NaN,4,5,55003
1248,1248,7,5,167242
987,483,6,5,85401
965,828,5,5,119901
900,882,5,5,122001
1776,936,7,5,192502
1489,778,6,7,139502
1141,1141,6,5,142505
2240,NaN,5,5,142958
912,NaN,4,5,80504
1432,1360,5,7,194001
1564,650,6,6,171003
1733,NaN,3,5,139602
899,864,5,7,130002
1728,1728,5,5,125003
1636,1623,8,5,255003
1430,384,7,5,180003
1442,1424,7,5,180503
1086,1086,5,7,144904
1680,840,6,7,177002
1057,1057,5,5,132002
1276,1276,5,3,60003
1368,1368,7,5,202505
1588,1588,7,5,214001
894,894,5,5,129005
1052,1010,6,7,155005
438,290,2,5,60004
1144,1144,5,6,139951
1057,1057,5,7,109003
2034,1057,7,5,219503
1502,776,7,6,149005
1707,1686,8,6,228003
1968,774,8,5,269501
1470,680,6,8,185005
1660,1660,8,5,290002
1208,1208,7,5,195403
1525,756,6,5,177004
1762,596,7,7,157003
1556,716,6,6,151004
1500,750,6,5,173903
1728,864,7,5,190002
1302,630,5,7,119505
936,936,4,4,93002
2243,700,7,5,225004
2332,1682,10,5,426001
872,858,4,5,123003
1750,983,6,7,160005
1740,800,7,6,219504
1234,1234,8,5,179904
2132,1496,8,8,316603
1644,1416,6,5,167004
1801,1501,7,8,289002
838,816,6,7,130001
1343,731,5,6,154904
1479,1453,7,5,226005
1316,1316,6,5,169992
1284,720,5,7,110002
4316,2444,10,6,755004
1029,1029,4,5,118505
1888,1517,6,6,190004
1766,1766,9,5,370879
1348,660,6,5,155005
960,960,4,4,108503
1464,1485,8,5,282923
1173,1053,7,6,170002
1680,880,6,9,222002
1908,967,8,5,202904
1229,561,6,6,124004
2353,845,7,7,260003
1478,1470,7,5,222004
2000,2000,8,5,305903
1664,NaN,5,5,100004
1541,1541,7,5,205004
968,968,5,6,100002
1302,630,5,5,106005
1073,1073,5,6,108485
2234,2216,9,5,501839
2031,1153,7,5,222504
1647,806,6,4,128001
1632,1240,6,6,139004
900,900,5,7,134801
864,864,5,8,99903
1634,1626,8,5,250002
912,912,6,8,142005
1274,1274,7,5,203003
1517,793,5,7,115001
1908,915,7,5,210005
924,672,5,7,122902
1522,1008,5,5,102004
1924,1086,8,5,280002
2113,2109,8,6,350005
1561,1561,9,5,277502
1489,1489,8,5,232605
2320,NaN,5,6,169002
1718,832,7,5,185004
2504,1122,9,5,325002
928,928,5,7,132001
1258,1198,4,4,108964
845,845,4,6,129503
1053,1008,5,7,150005
1352,663,6,7,158001
1080,1084,6,5,134004
1504,1346,7,5,181002
1382,673,7,5,165001
1734,1734,7,5,260005
1692,846,7,5,224503
1547,756,7,5,215201
987,483,6,5,94501
1869,1088,5,6,124905
1535,1517,7,5,214004
1709,970,7,5,130004
2526,1165,8,5,290003
864,864,4,7,124503
3238,2033,8,5,410001
2630,1470,8,5,315005
1656,1656,8,5,249704
1502,1488,8,5,212005
2287,1304,7,4,225005
980,980,5,6,135002
1228,1228,8,5,189002
848,848,6,5,136503
1721,1461,5,6,180005
1096,572,6,5,79004
720,624,6,8,105902
1116,1116,6,6,160004
1525,1525,7,5,235004
2290,777,4,6,122503
2730,1502,7,5,301005
1710,576,7,6,140005
1212,506,6,7,151001
1836,1836,8,5,280003
1383,1383,6,5,145254
2062,1157,7,5,277002
1268,832,5,7,133005
1472,384,7,5,160003
1034,1012,6,5,169904
1220,836,4,5,102001
1432,264,5,7,132004
1564,704,7,7,174501
1991,854,6,7,220001
2097,2077,8,5,423002
1048,1048,5,5,135004
1800,1800,8,5,312501
1440,540,5,4,79001
1601,1581,8,5,272005
2376,1158,8,5,325303
943,943,5,5,135962
1376,768,5,5,105003
2028,1868,8,5,369901
2149,1434,7,5,239690
2324,1175,9,5,345004
1752,1752,9,5,319901
2002,1001,5,6,145002
1928,686,5,8,160005
1225,950,4,5,128953
1626,764,7,5,154004
1482,672,6,8,140001
1709,970,6,5,130003
1971,1113,7,5,253005
1718,1705,8,5,297002
1134,1010,5,7,135004
1092,1092,6,7,145002
1050,1050,5,6,136504
1494,771,6,7,177502
2696,1264,7,5,383971
923,923,6,5,143001
1369,672,6,6,103602
1964,803,7,6,205001
1247,1247,8,5,197005
1846,1040,6,6,143001
2236,964,7,5,222005
3086,1598,5,6,200504
1224,NaN,4,5,101804
1086,1024,5,5,159953
1761,874,7,6,227877
999,925,5,5,134501
747,747,4,6,80001
1654,1654,7,5,230001
1774,1095,4,2,87005
2554,718,7,8,159503
2337,662,5,5,90001
902,876,5,6,125501
1787,1753,8,5,275005
1501,1490,7,5,204002
1264,1268,5,5,167504
1003,1003,6,6,142504
1040,1064,4,5,132254
1679,1408,6,5,193502
2161,1582,8,5,325627
2035,884,7,5,222502
1241,1241,7,5,199904
4676,3138,10,5,184752
1126,1126,5,5,160003
1524,1332,7,6,260001
1458,912,6,5,97501
1188,1188,5,5,142003
971,971,5,6,128504
892,892,5,5,100003
1324,1088,6,5,160001
1196,1196,4,7,109905
2291,975,7,5,230003
2822,1734,9,5,582935
1236,1070,5,6,134451
1829,941,7,6,237005
1271,720,5,5,135004
1506,1498,9,5,264136
2230,795,4,5,118503
1920,570,7,6,170002
2078,1034,8,5,339755
