点赞数,转发数,浏览量
803,720,87001
1446,729,175001
1700,1682,200001
951,951,106505
1357,1019,177001
1959,1907,171005
1145,1145,160202
2097,1080,228005
1502,602,165001
1904,1058,275003
1509,783,180001
2090,1190,207504
816,816,129903
1334,1350,167902
1708,976,130005
1844,1844,223005
1661,992,165503
1913,896,177004
848,848,131502
1200,600,151005
1391,1391,196001
1779,1763,170005
1458,729,176005
1658,773,188002
1301,1293,187751
1412,616,156937
1571,1571,239001
1876,901,185002
2042,2042,253296
768,768,133901
960,960,129005
1392,1392,110005
1291,1291,173004
1288,1260,245502
2198,1145,250001
894,894,128202
1252,600,160003
1200,600,144155
1015,768,88002
1774,952,129903
1828,1822,314818
520,520,68505
1250,661,139002
3194,965,359103
1108,637,139402
1441,776,174004
924,672,80002
1056,1056,145005
1306,728,76501
1378,689,161003
1067,1067,128002
1478,1478,156504
1690,924,181003
1236,912,135004
1786,920,223505
1026,940,147004
1338,1338,213504
1111,616,95003
2320,1028,259503
1456,728,172789
1298,1298,180005
1152,1092,158505
1342,1372,161502
1211,952,134005
1665,813,205952
1406,319,89504
864,864,133502
1310,1310,164994
1183,649,120005
3493,1470,295002
2612,1225,336001
1792,1792,374002
1844,1844,257004
944,NaN,82002
2358,907,240003
1646,1594,275001
2127,1223,271004
1792,896,136003
1505,883,145003
630,630,80005
1117,1029,107003
864,864,115002
1644,728,146501
1479,725,184002
1337,1237,153502
1728,1728,142601
1983,978,225001
1724,1680,197903
2365,1252,337005
1113,1113,147005
2466,1580,340001
1850,1833,326003
2792,1510,256001
894,894,110005
2060,1151,211001
987,483,83005
893,845,135001
2414,954,160001
1684,1684,266003
1360,384,130002
1150,1150,141005
894,864,142505
1922,1922,377431
2087,832,187505
1844,1844,190004
1646,1638,248903
1992,1053,250001
1200,600,151002
1824,764,180504
480,480,35314
1915,908,220004
882,NaN,97004
1850,973,248001
1200,1200,177502
1159,1051,158004
1566,1566,262504
1269,1269,155005
1820,864,201803
1506,1362,213491
1479,725,130505
1442,910,179902
1668,1657,232004
2784,1392,250004
1360,803,125502
1344,546,97002
1750,636,124001
1716,768,131004
848,848,144502
1842,1842,385002
1192,596,78001
1647,953,175003
1229,1134,135002
1784,747,138888
1363,1385,241503
1224,1224,165002
1212,1212,178004
1517,792,230005
1456,728,176005
2640,1240,265980
2713,1452,446265
2097,1108,274304
1124,NaN,93003
1383,1383,165001
334,NaN,39302
1132,1132,176001
1867,1617,190003
1933,894,214001
1146,868,187505
1535,NaN,118966
2945,1410,438783
2596,1249,342647
1092,546,88001
2256,952,236005
800,264,60004
2260,1306,328003
1604,926,181004
1482,384,163901
952,952,139001
960,672,112004
1717,1709,255501
912,912,144001
1626,764,173004
1605,840,107405
1855,994,136902
1500,1356,246582
1304,264,115005
2872,1330,272003
1344,896,115001
1301,1145,100004
1429,1144,181905
1148,980,123505
948,948,108002
1167,915,144003
2060,992,214004
1576,770,197004
1556,727,154003
848,848,144004
2634,1248,200004
1336,1165,157005
1314,1314,207502
3082,824,197005
1811,1073,230002
1696,1140,143905
1796,794,211004
1600,1566,256302
1020,780,94001
1839,756,155005
1861,916,200004
1944,1896,360002
1476,738,173502
1845,1055,189005
1355,684,127004
1510,755,108004
1620,1620,315503
768,768,133001
858,858,88005
1466,1466,149903
1894,817,214903
1069,1069,127502
1072,547,140003
1144,864,131405
1498,1498,204903
1121,1121,139001
1005,1005,115001
1771,NaN,115004
1558,910,152004
1977,816,165005
864,864,127504
752,744,125002
1652,1652,325001
1123,732,100005
990,990,156003
1389,1389,170003
1699,978,95003
1588,NaN,134436
1466,1466,201004
1328,686,107002
1176,698,134904
2898,1565,287005
1180,700,137504
1702,1702,367296
825,825,125003
864,864,62387
1919,1079,233234
1593,1593,286002
1224,612,173734
1716,880,191002
2184,1104,335002
1474,384,168503
1437,1437,218001
1574,796,190002
1620,780,152004
1776,1584,110001
864,864,120505
864,864,128501
1040,1040,129502
858,858,134903
988,876,119003
960,648,145003
1691,1026,127005
1414,707,178004
1004,975,135003
672,672,108002
1683,918,172501
1416,816,112004
1494,1494,270004
1109,372,139005
1137,1112,176003
1265,1219,179903
1976,1976,440002
1838,732,192142
1006,1006,80003
784,784,109505
1614,1614,221502
1328,1350,170003
1040,1040,150503
2810,1453,302002
892,864,110004
1176,816,114502
1419,408,184103
1306,1306,196005
2112,952,206905
2169,1284,228501
884,840,144003
1661,1649,224905
1656,746,165402
1502,1502,233174
672,672,113001
1496,1496,225004
3228,3200,430002
816,816,130503
912,912,114504
988,938,180002
1523,1193,180002
999,944,178405
1082,1082,119202
2270,1152,290004
1608,976,137453
1218,672,118005
2229,755,104002
1314,1314,176436
1269,1256,192005
2614,1522,240003
1644,1518,275001
1529,NaN,98004
1557,1374,234001
1768,731,175003
1294,1286,193882
1602,1602,215005
1616,1616,232003
2372,994,107504
1214,1214,140002
1126,NaN,108004
1200,864,146003
1142,1142,134003
1640,798,183005
1504,1346,191005
790,768,91003
935,742,79501
1026,1026,156003
2082,1362,200004
1601,1271,157004
1689,1689,248329
1660,831,195005
1414,1414,185504
1154,1154,154003
1710,832,187003
2110,948,205001
2134,844,214502
1365,765,122503
1277,1277,167004
1428,1417,227683
813,813,110001
848,848,143002
936,936,140001
2610,1184,303479
1573,884,133003
2520,1203,290004
2031,1128,237005
2057,1017,250005
894,894,123002
1072,547,145002
1728,1728,119001
816,816,138003
1099,1099,144005
1688,616,200005
869,440,85504
1647,1430,217503
1632,1632,143001
1928,1020,137003
1316,1316,200144
1246,1246,154003
1114,1114,159002
1069,1069,140003
1382,1051,148004
1426,690,159501
2117,1205,237501
1558,913,140003
1310,617,112002
1584,1584,124005
1593,808,178004
1102,551,148801
1526,1013,85001
1776,1732,283465
1339,1309,180004
1130,1120,120001
912,912,125001
854,832,132002
1812,360,140002
1422,1422,179604
1739,970,172505
958,958,143754
1818,1040,169505
1266,1266,159896
1317,649,40005
1126,1126,175004
1140,576,96504
1362,1362,163003
1047,641,100005
1470,794,177004
1674,814,216001
1622,1249,168001
1964,940,130001
924,924,110004
1582,770,185904
792,768,109505
2290,1128,255903
1040,NaN,109905
2624,1370,239004
1852,900,252681
986,960,102005
1203,709,110002
1258,1258,145005
1939,1095,266005
1138,588,145003
990,990,138005
1199,1199,153903
1694,1181,136504
860,840,137002
1140,1140,84501
2223,2223,244001
1056,1056,144002
1993,825,190004
841,721,82001
1440,1440,182904
1475,757,127002
1250,686,116001
1616,1149,152001
1800,1800,239004
1721,928,201001
1902,1902,335004
1494,1494,221002
875,715,105004
1775,740,213003
4476,2396,745001
1078,1078,142126
1960,860,216503
1158,1158,158002
2576,1234,361923
1958,979,145003
955,955,127005
2285,969,248002
3447,728,381001
1262,1262,185002
1863,879,219211
1656,1080,215005
969,969,122003
1442,1442,185001
1302,630,112001
935,935,137002
1912,482,163005
1501,697,165604
1381,1161,197501
1065,1065,126501
1635,1065,210003
1865,992,235001
1208,780,103005
1726,1726,311877
952,952,135751
1200,1176,184901
1548,952,205004
990,990,126001
1680,1680,136910
1856,1856,394436
1224,818,115001
988,988,128502
1520,793,159437
2398,1379,315752
1074,1056,153504
1314,1314,145002
1296,1267,220004
1060,1040,129901
1500,1500,190003
1664,953,172405
848,848,149001
2153,1440,313002
1363,622,125502
1092,NaN,55003
1248,1248,167242
987,483,85401
965,828,119901
900,882,122001
1776,936,192502
1489,778,139502
1141,1141,142505
2240,NaN,142958
912,NaN,80504
1432,1360,194001
1564,650,171003
1733,NaN,139602
899,864,130002
1728,1728,125003
1636,1623,255003
1430,384,180003
1442,1424,180503
1086,1086,144904
1680,840,177002
1057,1057,132002
1276,1276,60003
1368,1368,202505
1588,1588,214001
894,894,129005
1052,1010,155005
438,290,60004
1144,1144,139951
1057,1057,109003
2034,1057,219503
1502,776,149005
1707,1686,228003
1968,774,269501
1470,680,185005
1660,1660,290002
1208,1208,195403
1525,756,177004
1762,596,157003
1556,716,151004
1500,750,173903
1728,864,190002
1302,630,119505
936,936,93002
2243,700,225004
2332,1682,426001
872,858,123003
1750,983,160005
1740,800,219504
1234,1234,179904
2132,1496,316603
1644,1416,167004
1801,1501,289002
838,816,130001
1343,731,154904
1479,1453,226005
1316,1316,169992
1284,720,110002
4316,2444,755004
1029,1029,118505
1888,1517,190004
1766,1766,370879
1348,660,155005
960,960,108503
1464,1485,282923
1173,1053,170002
1680,880,222002
1908,967,202904
1229,561,124004
2353,845,260003
1478,1470,222004
2000,2000,305903
1664,NaN,100004
1541,1541,205004
968,968,100002
1302,630,106005
1073,1073,108485
2234,2216,501839
2031,1153,222504
1647,806,128001
1632,1240,139004
900,900,134801
864,864,99903
1634,1626,250002
912,912,142005
1274,1274,203003
1517,793,115001
1908,915,210005
924,672,122902
1522,1008,102004
1924,1086,280002
2113,2109,350005
1561,1561,277502
1489,1489,232605
2320,NaN,169002
1718,832,185004
2504,1122,325002
928,928,132001
1258,1198,108964
845,845,129503
1053,1008,150005
1352,663,158001
1080,1084,134004
1504,1346,181002
1382,673,165001
1734,1734,260005
1692,846,224503
1547,756,215201
987,483,94501
1869,1088,124905
1535,1517,214004
1709,970,130004
2526,1165,290003
864,864,124503
3238,2033,410001
2630,1470,315005
1656,1656,249704
1502,1488,212005
2287,1304,225005
980,980,135002
1228,1228,189002
848,848,136503
1721,1461,180005
1096,572,79004
720,624,105902
1116,1116,160004
1525,1525,235004
2290,777,122503
2730,1502,301005
1710,576,140005
1212,506,151001
1836,1836,280003
1383,1383,145254
2062,1157,277002
1268,832,133005
1472,384,160003
1034,1012,169904
1220,836,102001
1432,264,132004
1564,704,174501
1991,854,220001
2097,2077,423002
1048,1048,135004
1800,1800,312501
1440,540,79001
1601,1581,272005
2376,1158,325303
943,943,135962
1376,768,105003
2028,1868,369901
2149,1434,239690
2324,1175,345004
1752,1752,319901
2002,1001,145002
1928,686,160005
1225,950,128953
1626,764,154004
1482,672,140001
1709,970,130003
1971,1113,253005
1718,1705,297002
1134,1010,135004
1092,1092,145002
1050,1050,136504
1494,771,177502
2696,1264,383971
923,923,143001
1369,672,103602
1964,803,205001
1247,1247,197005
1846,1040,143001
2236,964,222005
3086,1598,200504
1224,NaN,101804
1086,1024,159953
1761,874,227877
999,925,134501
747,747,80001
1654,1654,230001
1774,1095,87005
2554,718,159503
2337,662,90001
902,876,125501
1787,1753,275005
1501,1490,204002
1264,1268,167504
1003,1003,142504
1040,1064,132254
1679,1408,193502
2161,1582,325627
2035,884,222502
1241,1241,199904
4676,3138,184752
1126,1126,160003
1524,1332,260001
1458,912,97501
1188,1188,142003
971,971,128504
892,892,100003
1324,1088,160001
1196,1196,109905
2291,975,230003
2822,1734,582935
1236,1070,134451
1829,941,237005
1271,720,135004
1506,1498,264136
2230,795,118503
1920,570,170002
2078,1034,339755
1981,1122,135001
1235,1235,98603
754,520,84504
864,864,127004
1364,1364,185854
1738,715,104903
1456,728,179541
1077,991,118005
2392,2392,386252
1308,728,160002
1344,624,98003
848,848,149305
2274,1105,154302
2473,1143,317003
1430,1413,187104
1687,747,160004
2018,2002,378505
1661,799,212003
3112,1360,235004
1367,884,127502
2192,720,179504
1196,1196,139003
864,864,111255
698,698,118003
901,901,107905
1252,1602,235001
1848,833,207001
1625,1573,235005
1970,1085,281005
1689,1436,127502
1509,1461,175003
1689,1568,271001
1166,856,190004
1344,672,147001
1092,525,88004
1582,1624,190003
1056,1056,139402
1250,625,164701
894,894,149904
987,483,106003
1982,807,228503
2036,2136,375002
1258,560,105003
1094,1094,155005
1350,1248,168505
2794,1462,403002
2217,2217,268004
1063,1056,128004
1244,1244,150003
1419,1419,392001
1675,841,181003
2007,1017,310001
912,912,147002
1316,926,130002
1052,1052,138504
2521,942,151401
1348,884,117005
1635,485,117005
1470,941,135002
1097,1040,152002
1788,1753,236501
1296,NaN,90003
1456,728,189003
950,950,119501
1530,1530,260001
2121,2121,415303
2520,1338,310002
1563,1563,245004
2418,1311,341003
780,780,124905
1959,1088,270001
1704,1704,306002
1392,689,161753
1472,1372,187505
1710,1710,372403
1728,1728,188002
1120,1120,147002
2515,2035,200629
784,784,76001
1302,1302,176487
1167,1158,173004
1012,1012,118401
1436,1436,210001
1400,672,149505
1220,1199,194005
1437,1188,168005
1960,960,124505
1328,1328,143003
1223,600,147403
1671,959,173002
1872,1845,241502
1868,780,197504
1573,756,177503
1889,925,122002
1251,1251,160002
1217,626,120003
1978,832,176002
1355,644,127504
1056,1056,139005
2868,1992,556586
1804,994,189001
1668,840,180002
778,740,120504
1370,1090,152003
1690,815,144004
1216,1216,164001
1575,1575,179205
1868,585,178005
1668,856,140005
904,876,109903
1253,1253,157003
1362,1362,194703
1743,702,175003
2704,1952,345005
2084,2078,385005
1511,802,185005
1352,1352,208902
1947,991,254904
1603,761,175905
1744,996,194501
1456,728,163995
1820,1026,184001
1358,1358,224003
1792,963,231504
694,440,90354
1394,384,167505
1344,819,137504
1571,799,178003
1469,756,135005
1537,1319,174002
2142,896,193502
954,911,132502
1621,1208,202503
1586,1362,181004
1536,1536,214001
912,888,156002
894,894,130003
1412,1392,175003
1709,1698,328903
2364,2330,611658
1720,860,196504
840,672,87002
1040,1040,127005
1664,1004,159002
1652,1494,251003
1548,804,155002
1665,810,227005
1905,1905,320001
1712,1626,145003
1385,910,166002
1498,691,187501
958,958,151503
1922,NaN,198501
1629,1616,270003
1112,536,85001
1148,1148,132504
720,NaN,72505
948,948,119005
1482,650,143002
1253,1237,176002
1279,1196,171501
2094,912,263005
1680,1650,213253
729,270,52005
1936,1406,230503
1200,768,130505
3395,1440,200001
2210,1008,117503
1350,1064,165005
1111,572,116903
1552,1552,212904
1790,732,165155
894,894,109501
2574,1482,276005
3279,1650,538002
1306,992,153004
912,912,115005
720,720,34905
2668,1572,412503
1285,672,127003
2392,1396,348003
630,630,86003
1826,910,155001
1040,NaN,87502
1392,689,146003
864,864,120002
1838,1838,315005
2136,2136,137904
1473,1437,143004
2524,2524,278005
1217,1188,173004
832,832,105504
1717,756,140005
1048,NaN,98303
1803,1134,155003
1054,936,137503
2599,1393,333170
804,788,119001
1204,1204,162003
1442,1442,157904
1164,1164,140001
5642,6110,160003
1452,736,113005
1504,1504,203002
1114,1114,155002
1266,1257,176003
1513,939,137505
902,864,131002
1056,1056,107004
1710,1710,240005
1062,1029,146802
1768,880,163004
2622,1463,325002
1349,1349,179001
864,864,115005
1732,741,178001
2417,1288,260004
1078,1078,149905
833,833,112002
1535,NaN,118860
747,600,79905
1464,520,175003
1632,935,176503
960,960,94755
1178,1176,157004
874,864,130003
1428,1428,182005
1440,1440,150003
1752,559,164001
2156,1568,262502
1192,720,135001
1630,1622,295498
1370,1370,202501
1262,1262,181503
1125,1125,155004
1725,539,197005
1923,750,190001
1572,1572,186701
1077,961,67004
1022,1022,85002
1090,1090,157005
1786,1499,228951
848,848,141004
1795,1777,230001
691,691,86003
1285,660,143503
1252,1252,142001
796,796,85004
1072,547,148005
1434,1454,189003
2073,1542,210003
1471,729,172505
3627,1930,625005
1728,864,207503
1489,1489,185751
2030,848,195005
1580,1580,235133
1801,893,239901
1477,861,145002
1164,1164,125004
1640,798,173002
1797,939,213501
1682,804,200504
1812,864,169501
1110,1097,165503
1779,866,197903
2514,1216,250001
1412,780,132502
1576,1042,149003
1367,861,119002
2110,2110,244002
2069,585,242001
1414,1184,176502
1416,708,179901
1950,975,239004
1578,806,133004
2224,1462,350001
1686,1686,207505
1040,1040,152004
981,981,143253
2200,1272,145905
1053,1053,145504
964,876,163504
864,864,67001
1441,855,148501
1824,1643,302005
1362,796,143002
1624,1624,262005
1962,1391,239804
2263,1141,258003
1646,918,164005
1283,931,140004
974,974,93503
1389,651,135005
1221,784,104902
968,656,64503
1604,984,117002
990,990,145001
1386,672,158905
1208,1208,165003
1851,822,187002
914,870,148005
1716,858,171005
2402,3094,555001
1555,1373,192501
1337,1337,180004
1935,832,263440
1569,1386,175905
1516,1516,167003
1986,768,205005
912,912,120002
864,864,136505
693,693,52504
1638,943,192001
1826,1814,319005
1920,1052,172505
1617,1604,193003
1218,1218,208305
1396,698,153577
1949,1050,236001
2531,1318,290005
1733,847,225002
1953,1082,252005
1659,1501,278002
1920,928,137003
2654,1054,250002
999,999,132504
1520,1156,153005
1611,780,167901
1121,1121,140001
1657,1657,163503
1652,1600,392501
1096,1096,138805
1593,839,193005
