用户码,曾助力,曾拼团,曾推荐,设备,城市类型,R值,M值,裂变类型,是否转化
87,1,0,0,手机,二线,4,119.06,情侣花享,1
88,0,1,0,手机,一线,5,42.3,没有促销,0
89,1,0,0,其它,中小,9,327.52,没有促销,0
90,1,0,0,电脑,一线,2,29.99,拼团盛放,0
91,1,0,0,手机,中小,11,42.67,拼团盛放,0
92,1,0,1,手机,中小,4,447.7,没有促销,0
93,1,0,0,其它,一线,5,346.92,没有促销,0
94,0,1,1,其它,中小,3,972.84,拼团盛放,0
95,0,1,1,电脑,中小,12,911.23,情侣花享,0
96,1,0,1,手机,二线,2,126.13,拼团盛放,0
97,0,1,1,其它,二线,2,280.7,情侣花享,0
98,1,0,0,手机,二线,11,112.78,没有促销,0
99,0,1,1,电脑,二线,8,36.72,情侣花享,1
100,1,0,0,手机,一线,2,53.76,没有促销,0
101,1,0,0,电脑,二线,2,260.81,拼团盛放,0
102,1,0,1,电脑,一线,10,106.47,情侣花享,1
103,0,1,0,电脑,一线,5,83.59,拼团盛放,1
104,0,1,1,手机,二线,1,113.87,拼团盛放,0
105,1,0,1,其它,二线,3,648,拼团盛放,0
106,0,1,0,电脑,一线,2,321.22,没有促销,0
107,0,1,1,手机,中小,5,29.99,情侣花享,0
108,1,0,0,其它,中小,10,209.61,情侣花享,0
109,1,1,0,手机,二线,1,231.76,没有促销,1
110,1,1,1,手机,中小,5,933.65,情侣花享,1
111,1,1,0,电脑,一线,3,439.93,没有促销,1
112,0,1,1,手机,一线,10,29.99,拼团盛放,0
113,1,0,1,手机,二线,11,222.35,情侣花享,0
114,1,0,1,手机,二线,2,29.99,拼团盛放,0
115,0,1,1,手机,二线,2,68.61,拼团盛放,0
116,1,0,1,电脑,一线,4,272.13,拼团盛放,0
117,0,1,1,手机,一线,1,413.94,拼团盛放,0
118,1,1,0,电脑,二线,8,346.1,没有促销,0
119,1,0,1,其它,二线,2,375.42,情侣花享,0
120,0,1,1,电脑,二线,6,1131.22,情侣花享,0
121,1,0,1,电脑,二线,11,81.47,拼团盛放,0
122,0,1,0,电脑,中小,7,234.01,拼团盛放,1
123,0,1,0,其它,一线,2,271.35,情侣花享,0
124,0,1,1,手机,中小,6,164.32,拼团盛放,1
125,1,0,1,手机,一线,9,29.99,没有促销,0
126,1,1,0,手机,一线,7,273.52,拼团盛放,0
127,0,1,0,手机,一线,10,327.18,拼团盛放,0
128,0,1,1,手机,中小,12,89.33,没有促销,0
129,1,0,0,电脑,中小,10,178.61,拼团盛放,0
130,1,0,1,手机,中小,6,131.39,情侣花享,0
131,0,1,0,手机,中小,3,48,拼团盛放,1
132,0,1,1,电脑,二线,4,242.91,拼团盛放,0
133,1,0,0,电脑,中小,10,169.76,拼团盛放,0
134,1,1,1,电脑,一线,2,782.25,情侣花享,1
135,0,1,1,电脑,二线,6,590.41,情侣花享,1
136,1,0,0,手机,一线,2,287.92,拼团盛放,0
137,1,0,1,手机,一线,3,252.01,拼团盛放,0
138,1,0,1,其它,二线,1,569.76,没有促销,0
139,1,1,1,手机,一线,1,829.57,拼团盛放,1
140,0,1,0,手机,二线,10,60.6,没有促销,0
141,0,1,1,手机,一线,7,29.99,没有促销,0
142,0,1,0,电脑,二线,2,133.63,没有促销,0
143,1,1,0,电脑,一线,3,328.66,情侣花享,1
144,1,0,1,手机,一线,3,29.99,情侣花享,0
145,0,1,0,手机,二线,1,349.84,情侣花享,0
146,0,1,1,手机,二线,1,29.99,没有促销,0
147,1,0,0,电脑,二线,10,192.54,拼团盛放,0
148,0,1,0,电脑,二线,2,86.04,情侣花享,0
149,0,1,0,手机,二线,9,112.56,没有促销,0
150,1,0,0,电脑,一线,3,249.15,没有促销,1
151,0,1,0,电脑,二线,9,228.59,情侣花享,1
152,1,0,1,手机,一线,9,143.13,情侣花享,0
153,1,0,0,手机,中小,9,29.99,拼团盛放,0
154,0,1,0,电脑,一线,1,172.23,情侣花享,0
155,1,0,1,电脑,二线,2,173.79,没有促销,0
156,0,1,0,电脑,中小,10,129.19,拼团盛放,0
157,1,0,0,手机,二线,8,29.99,拼团盛放,0
158,1,0,0,手机,中小,4,288.65,情侣花享,0
159,0,1,0,手机,二线,6,46.33,情侣花享,0
160,0,1,0,手机,中小,4,418.06,拼团盛放,0
161,0,1,0,手机,二线,10,62.31,拼团盛放,0
162,1,0,1,其它,二线,6,1653.84,没有促销,1
163,0,1,0,电脑,一线,5,282.93,拼团盛放,0
164,0,1,0,其它,二线,9,451.07,情侣花享,1
165,0,1,1,电脑,一线,4,29.99,没有促销,0
166,1,0,1,电脑,一线,1,150.83,拼团盛放,0
167,1,0,1,手机,一线,12,57.59,情侣花享,0
168,1,0,0,其它,二线,6,421.84,拼团盛放,0
169,0,1,1,手机,二线,7,584.15,没有促销,0
170,1,0,0,电脑,一线,10,159.04,拼团盛放,0
171,0,1,1,其它,一线,1,729.12,没有促销,0
172,0,1,0,电脑,二线,9,96.91,情侣花享,0
173,0,1,0,手机,中小,7,29.99,情侣花享,0
174,1,0,1,手机,二线,3,29.99,没有促销,0
175,1,1,0,电脑,一线,10,364.89,拼团盛放,0
176,1,0,1,手机,一线,2,110.58,情侣花享,0
177,0,1,1,手机,二线,10,29.99,拼团盛放,0
178,0,1,0,电脑,一线,8,317.17,拼团盛放,0
179,1,0,1,电脑,二线,6,37.18,情侣花享,0
180,1,0,1,电脑,二线,2,129.18,拼团盛放,0
181,1,0,0,电脑,二线,5,172.79,没有促销,0
182,0,1,1,电脑,二线,12,126.27,拼团盛放,0
183,1,0,1,电脑,二线,6,35.58,没有促销,0
184,1,0,1,手机,中小,6,450.5,情侣花享,0
185,1,1,1,手机,二线,3,603.34,情侣花享,0
186,1,0,0,手机,中小,6,29.99,拼团盛放,0
187,1,0,0,手机,二线,9,131.55,拼团盛放,0
188,0,1,0,其它,二线,2,410.57,拼团盛放,1
189,1,0,0,电脑,一线,10,151.43,没有促销,0
190,1,0,1,手机,中小,10,76.88,拼团盛放,0
191,0,1,1,其它,一线,7,632.76,没有促销,0
192,0,1,0,手机,一线,7,287.14,没有促销,0
193,1,0,0,电脑,一线,12,29.99,没有促销,0
194,0,1,1,手机,一线,5,757.66,没有促销,0
195,0,1,0,手机,二线,5,408.01,拼团盛放,1
196,1,0,1,电脑,一线,6,130.51,没有促销,0
197,0,1,1,手机,一线,7,108.61,情侣花享,0
198,1,0,0,电脑,二线,5,110.49,没有促销,0
199,1,0,1,手机,二线,5,142.94,情侣花享,1
200,1,1,1,手机,一线,10,238.78,拼团盛放,0
201,0,1,0,电脑,二线,3,229.98,情侣花享,1
202,0,1,0,手机,二线,1,29.99,拼团盛放,0
203,0,1,1,电脑,一线,5,262.64,拼团盛放,0
204,1,1,0,电脑,二线,3,330.13,拼团盛放,0
205,1,0,0,电脑,二线,4,156.9,拼团盛放,0
206,1,0,1,电脑,二线,4,531.66,情侣花享,0
207,0,1,0,手机,一线,9,29.99,情侣花享,0
208,0,1,0,手机,二线,3,106.55,拼团盛放,0
209,0,1,0,电脑,一线,1,443.81,情侣花享,0
210,1,1,1,其它,二线,1,333.59,没有促销,0
211,0,1,0,电脑,一线,12,29.99,情侣花享,0
212,0,1,0,电脑,一线,1,296.77,情侣花享,1
213,1,0,0,手机,中小,5,205.6,没有促销,0
214,1,0,0,电脑,二线,3,274.98,拼团盛放,0
215,1,1,1,手机,一线,2,879.49,情侣花享,0
216,0,1,0,电脑,一线,6,49.1,情侣花享,0
217,0,1,1,手机,二线,2,29.99,没有促销,0
218,0,1,0,手机,中小,10,337.34,情侣花享,0
219,0,1,1,电脑,一线,3,29.99,拼团盛放,0
220,1,0,1,电脑,一线,7,373.04,情侣花享,0
221,0,1,0,手机,二线,9,150.39,没有促销,0
222,0,1,0,手机,二线,8,88.12,情侣花享,0
223,0,1,1,手机,中小,1,116.01,没有促销,0
224,0,1,1,手机,二线,10,29.99,拼团盛放,0
225,0,1,0,其它,二线,2,395.01,情侣花享,0
226,0,1,1,手机,一线,7,173.77,拼团盛放,1
227,1,0,0,手机,一线,3,390.84,没有促销,0
228,1,0,1,手机,二线,9,49.75,情侣花享,0
229,1,0,1,电脑,二线,2,149.82,没有促销,0
230,0,1,0,电脑,二线,6,207.35,情侣花享,0
231,0,1,1,其它,中小,7,436.93,拼团盛放,0
232,1,0,1,电脑,中小,6,132.6,没有促销,0
233,1,0,0,电脑,中小,10,70.34,没有促销,0
234,1,0,0,电脑,中小,5,78.07,情侣花享,0
235,1,1,0,手机,中小,5,258.93,情侣花享,0
236,0,1,0,电脑,一线,2,123.38,没有促销,1
237,1,0,0,其它,一线,1,443.69,没有促销,0
238,0,1,0,电脑,二线,4,99.6,拼团盛放,0
239,0,1,0,电脑,一线,7,59.14,没有促销,0
240,1,0,1,手机,二线,10,29.99,拼团盛放,0
241,0,1,1,手机,二线,6,456.08,拼团盛放,0
242,1,0,1,电脑,二线,3,107.49,没有促销,0
243,0,1,1,电脑,一线,9,76.03,情侣花享,0
244,1,0,0,手机,二线,10,171.26,拼团盛放,0
245,1,0,1,手机,二线,9,102.65,拼团盛放,0
246,1,0,1,手机,一线,9,210.27,拼团盛放,0
247,0,1,0,电脑,中小,7,200.79,拼团盛放,1
248,1,0,0,电脑,二线,11,29.99,没有促销,1
249,0,1,0,手机,一线,5,69.82,拼团盛放,1
250,0,1,0,电脑,一线,5,39.76,没有促销,0
251,0,1,0,电脑,一线,1,92.05,没有促销,0
252,0,1,0,电脑,二线,11,157.04,拼团盛放,0
253,0,1,1,其它,二线,5,270.95,拼团盛放,0
254,1,0,0,其它,一线,4,325.26,情侣花享,1
255,1,0,0,电脑,中小,6,137.51,拼团盛放,0
256,1,1,0,电脑,中小,10,308.12,没有促销,1
257,0,1,0,电脑,一线,3,306.05,没有促销,0
258,1,0,1,其它,一线,2,737.07,拼团盛放,0
259,0,1,0,电脑,二线,5,199.5,没有促销,0
260,1,0,1,电脑,一线,3,110.16,拼团盛放,1
261,0,1,1,手机,一线,1,58.98,没有促销,0
262,0,1,0,手机,中小,9,219.44,没有促销,0
263,1,0,1,电脑,二线,6,105.39,没有促销,0
264,1,0,1,手机,一线,12,34.13,情侣花享,0
265,0,1,0,手机,二线,6,85.26,情侣花享,0
266,0,1,1,电脑,二线,8,115.33,拼团盛放,0
267,0,1,0,手机,一线,1,351.3,拼团盛放,0
268,1,0,1,电脑,二线,8,32.27,拼团盛放,0
269,1,0,1,电脑,一线,5,374.27,没有促销,1
270,0,1,1,其它,一线,9,320.64,没有促销,0
271,0,1,0,手机,一线,6,242.46,拼团盛放,0
272,0,1,0,电脑,二线,10,85.95,情侣花享,0
273,0,1,0,电脑,二线,10,60.92,拼团盛放,0
274,0,1,0,手机,二线,1,378.83,拼团盛放,0
275,0,1,1,其它,一线,1,1062.92,情侣花享,0
276,1,0,1,电脑,一线,9,30.25,没有促销,0
277,0,1,1,其它,二线,2,1259.54,拼团盛放,0
278,0,1,0,其它,二线,5,452.35,拼团盛放,0
279,1,0,1,电脑,中小,2,693.13,没有促销,0
280,0,1,1,手机,二线,3,49.76,情侣花享,0
281,0,1,1,电脑,一线,2,504.53,情侣花享,1
282,0,1,0,电脑,二线,5,136.27,情侣花享,0
283,0,1,1,手机,一线,10,87.56,情侣花享,0
284,0,1,0,手机,二线,3,133.95,拼团盛放,0
285,1,0,0,电脑,二线,10,120.69,没有促销,0
286,1,0,1,电脑,中小,3,821.85,情侣花享,0
287,1,0,0,手机,一线,2,355.88,情侣花享,0
288,0,1,0,电脑,一线,8,29.99,没有促销,0
289,1,0,0,电脑,一线,5,153.01,情侣花享,0
290,1,0,0,电脑,一线,5,90.67,没有促销,0
291,1,0,0,手机,一线,4,182.58,没有促销,0
292,1,1,1,手机,中小,5,646.58,情侣花享,0
293,1,0,1,其它,中小,4,201.62,没有促销,0
294,0,1,0,手机,二线,4,29.99,没有促销,0
295,1,0,0,电脑,一线,2,207.66,情侣花享,0
296,0,1,1,手机,二线,5,64.46,没有促销,0
297,1,0,0,手机,一线,9,105.42,拼团盛放,0
298,1,0,1,电脑,二线,9,52.77,情侣花享,0
299,1,1,0,电脑,二线,9,314.31,拼团盛放,0
300,0,1,1,手机,中小,4,340.78,情侣花享,0
301,0,1,0,手机,二线,11,29.99,拼团盛放,0
302,0,1,1,电脑,二线,2,32.98,拼团盛放,0
303,1,0,1,手机,二线,1,96.28,没有促销,0
304,0,1,1,手机,二线,7,71.99,没有促销,0
305,1,0,0,手机,二线,5,367.02,没有促销,0
306,0,1,1,电脑,二线,2,29.99,没有促销,1
307,0,1,0,电脑,一线,7,29.99,情侣花享,0
308,0,1,1,手机,一线,4,772.53,拼团盛放,0
309,0,1,0,电脑,一线,6,198.85,情侣花享,0
310,1,0,1,电脑,一线,10,82.1,情侣花享,0
311,0,1,0,电脑,二线,10,384.29,拼团盛放,0
312,0,1,0,电脑,中小,1,165.76,拼团盛放,0
313,1,0,0,电脑,二线,10,373.83,拼团盛放,0
314,1,0,1,其它,一线,7,313.78,情侣花享,0
315,1,1,1,手机,二线,4,549.71,没有促销,0
316,1,1,0,手机,一线,2,425.33,拼团盛放,0
317,1,1,1,手机,二线,3,936.59,情侣花享,0
318,0,1,0,手机,二线,1,204.75,情侣花享,1
319,1,0,0,手机,一线,3,103.19,情侣花享,0
320,0,1,1,其它,二线,3,378.65,拼团盛放,0
321,0,1,0,手机,一线,10,29.99,拼团盛放,0
322,1,0,0,电脑,二线,1,122.15,情侣花享,0
323,1,0,0,手机,二线,11,94.13,情侣花享,0
324,0,1,0,手机,中小,3,164.81,拼团盛放,0
325,1,0,0,手机,二线,3,292.41,没有促销,0
326,0,1,1,电脑,中小,4,820.64,情侣花享,1
327,1,1,1,手机,一线,1,662.19,没有促销,0
328,0,1,1,手机,一线,10,249.7,没有促销,0
329,0,1,1,电脑,一线,8,50.68,情侣花享,0
330,1,0,1,电脑,一线,4,77.63,情侣花享,0
331,1,0,0,手机,一线,1,177.75,拼团盛放,0
332,0,1,0,手机,二线,7,167.92,情侣花享,1
333,0,1,1,电脑,中小,8,29.99,没有促销,0
334,0,1,1,电脑,一线,12,74.26,拼团盛放,0
335,0,1,1,手机,一线,1,72.16,没有促销,0
336,0,1,1,其它,二线,4,880.89,情侣花享,0
337,0,1,0,手机,二线,8,31.23,没有促销,0
338,0,1,0,手机,二线,11,197.64,拼团盛放,0
339,0,1,1,其它,中小,4,293.7,没有促销,0
340,1,0,0,手机,一线,3,59.42,没有促销,0
341,1,0,0,其它,一线,6,221.27,拼团盛放,0
342,1,0,0,电脑,一线,4,355.13,没有促销,0
343,0,1,0,电脑,二线,1,429.34,没有促销,0
344,0,1,0,电脑,二线,11,160.47,拼团盛放,0
345,0,1,1,手机,一线,9,189.94,没有促销,0
346,0,1,0,电脑,中小,1,67.34,没有促销,0
347,1,1,0,手机,二线,9,280.48,情侣花享,0
348,1,0,0,手机,一线,8,38.83,情侣花享,0
349,0,1,1,手机,一线,4,153.55,拼团盛放,0
350,1,1,1,电脑,一线,2,1291.85,没有促销,0
351,0,1,0,手机,二线,10,169.35,没有促销,0
352,0,1,0,手机,一线,5,193.18,没有促销,0
353,1,1,0,电脑,一线,10,486.17,拼团盛放,0
354,1,0,1,电脑,二线,1,44.09,拼团盛放,0
355,0,1,1,电脑,中小,12,38.68,情侣花享,1
356,1,0,0,电脑,二线,3,59.09,情侣花享,0
357,1,0,0,手机,一线,4,103.03,拼团盛放,0
358,1,1,0,手机,一线,2,226.51,没有促销,0
359,0,1,0,电脑,二线,1,333.54,拼团盛放,1
360,0,1,1,其它,一线,2,631.14,没有促销,0
361,0,1,1,手机,二线,12,236.76,没有促销,0
362,0,1,1,电脑,一线,1,158.43,情侣花享,0
363,1,0,0,手机,二线,3,41.47,没有促销,0
364,1,0,1,手机,二线,9,717.32,情侣花享,0
365,1,0,1,手机,一线,3,258.91,拼团盛放,0
366,0,1,0,手机,中小,6,116.95,情侣花享,1
367,1,0,1,手机,二线,4,68.76,没有促销,0
368,1,0,0,手机,一线,9,49.46,拼团盛放,0
369,0,1,1,电脑,二线,3,168.13,情侣花享,0
370,1,1,1,电脑,中小,4,991.1,没有促销,0
371,0,1,1,其它,二线,1,751.04,拼团盛放,0
372,1,0,0,手机,二线,6,319.63,拼团盛放,1
373,1,0,0,手机,二线,3,49.2,拼团盛放,0
374,1,0,1,手机,一线,4,129.41,拼团盛放,0
375,1,0,0,电脑,二线,8,147.68,拼团盛放,0
376,0,1,0,手机,二线,11,161.65,拼团盛放,0
377,1,0,0,手机,一线,7,202.01,情侣花享,1
378,1,0,1,电脑,一线,2,714.66,没有促销,0
379,1,1,0,手机,一线,3,212.24,情侣花享,0
380,1,0,1,电脑,一线,9,58,情侣花享,0
381,0,1,0,手机,一线,6,189.44,拼团盛放,0
382,1,0,1,电脑,二线,7,29.99,拼团盛放,0
383,1,0,0,手机,二线,8,115.26,情侣花享,0
384,0,1,0,手机,一线,7,138.99,情侣花享,0
385,0,1,0,手机,一线,3,484.15,拼团盛放,0
386,0,1,0,电脑,一线,2,186.37,没有促销,0
387,1,0,1,电脑,二线,10,69.1,情侣花享,0
388,0,1,1,电脑,二线,10,67.35,情侣花享,0
389,1,0,1,其它,二线,8,696.95,没有促销,0
390,0,1,0,电脑,一线,9,82.46,情侣花享,0
391,0,1,0,手机,一线,9,96.88,情侣花享,1
392,0,1,1,其它,中小,10,686.35,没有促销,0
393,0,1,0,电脑,一线,3,130.36,情侣花享,0
394,0,1,1,手机,二线,3,29.99,情侣花享,0
395,1,0,1,手机,二线,12,255.73,情侣花享,0
396,0,1,0,手机,二线,5,49.45,情侣花享,0
397,0,1,1,手机,二线,1,597.48,没有促销,0
398,0,1,0,其它,中小,4,447.08,拼团盛放,0
399,0,1,0,手机,二线,12,328.03,情侣花享,0
400,1,1,0,其它,一线,1,226.97,拼团盛放,0
401,0,1,1,手机,二线,2,151.91,没有促销,1
402,1,0,1,电脑,二线,2,486.54,拼团盛放,0
403,1,0,1,其它,二线,1,881.93,没有促销,0
404,0,1,1,电脑,中小,9,86.3,情侣花享,0
405,1,0,0,手机,二线,1,41.03,拼团盛放,1
406,1,0,1,电脑,中小,9,29.99,情侣花享,0
407,1,0,0,其它,一线,6,343.8,情侣花享,0
408,0,1,0,电脑,一线,5,319.66,拼团盛放,0
409,1,0,0,电脑,二线,1,194.56,情侣花享,0
410,0,1,1,手机,一线,10,29.99,没有促销,0
411,0,1,1,手机,一线,11,297.09,拼团盛放,0
412,0,1,0,电脑,二线,4,181.55,拼团盛放,0
413,1,0,0,手机,一线,1,126.01,拼团盛放,0
414,1,0,1,电脑,一线,2,96.75,拼团盛放,0
415,0,1,0,电脑,中小,3,77.4,情侣花享,1
416,1,0,1,手机,一线,6,52.38,情侣花享,1
417,0,1,1,其它,一线,1,1289.53,拼团盛放,1
418,0,1,1,电脑,二线,5,55.58,情侣花享,0
419,1,0,1,电脑,一线,1,629.85,情侣花享,1
420,1,0,0,电脑,二线,9,304.07,情侣花享,1
421,1,0,0,电脑,一线,2,48.77,情侣花享,0
422,1,0,0,手机,一线,4,29.99,没有促销,0
423,1,1,1,电脑,二线,2,1364.1,没有促销,0
424,0,1,1,手机,一线,10,58.17,拼团盛放,0
425,0,1,0,其它,中小,11,223.5,拼团盛放,1
426,0,1,0,手机,二线,10,349.34,拼团盛放,1
427,1,0,0,手机,中小,9,68,情侣花享,0
428,1,0,1,电脑,一线,1,142.07,拼团盛放,0
429,1,0,0,手机,一线,7,272.85,拼团盛放,0
430,0,1,1,手机,一线,3,115.78,没有促销,0
431,0,1,1,电脑,二线,9,160.04,情侣花享,0
432,0,1,0,电脑,二线,9,29.99,没有促销,0
433,0,1,0,电脑,二线,7,29.99,没有促销,0
434,0,1,1,电脑,二线,3,29.99,情侣花享,1
435,0,1,1,手机,二线,2,109.43,拼团盛放,1
436,1,0,0,手机,二线,10,151.17,拼团盛放,0
437,0,1,0,手机,二线,6,29.99,拼团盛放,0
438,1,0,1,电脑,二线,9,63.36,拼团盛放,0
439,0,1,0,手机,一线,5,331.44,拼团盛放,0
440,1,0,1,手机,一线,1,566.26,拼团盛放,0
441,1,0,0,手机,一线,1,210.61,拼团盛放,0
442,1,0,1,手机,一线,12,64.31,没有促销,0
443,1,1,0,手机,一线,5,266.05,拼团盛放,0
444,1,0,0,电脑,二线,7,180.13,没有促销,0
445,1,0,0,电脑,一线,8,173.55,情侣花享,0
446,0,1,0,电脑,一线,1,299.6,拼团盛放,0
447,1,0,0,电脑,一线,10,29.99,拼团盛放,0
448,1,0,1,手机,二线,11,139.79,情侣花享,0
449,1,0,1,手机,二线,7,29.99,情侣花享,0
450,1,1,0,手机,二线,7,367.03,没有促销,1
451,1,0,0,其它,二线,10,416.04,情侣花享,0
452,1,0,1,电脑,一线,1,809.3,情侣花享,0
453,1,1,1,电脑,二线,4,862.38,情侣花享,0
454,1,0,1,手机,一线,10,42.49,拼团盛放,0
455,0,1,0,电脑,一线,10,110.05,情侣花享,0
456,0,1,1,手机,二线,11,185.59,情侣花享,0
457,1,0,1,手机,一线,11,126.37,没有促销,0
458,1,0,0,手机,二线,7,29.99,拼团盛放,0
459,1,1,1,手机,二线,3,613.87,没有促销,0
460,0,1,0,电脑,中小,11,194.76,没有促销,0
461,0,1,1,手机,一线,1,833.25,没有促销,0
462,0,1,0,电脑,一线,12,75.21,拼团盛放,0
463,1,0,0,电脑,一线,9,29.99,没有促销,0
464,1,0,0,手机,中小,11,45.36,情侣花享,1
465,1,0,1,手机,二线,10,236.67,情侣花享,0
466,1,0,0,电脑,一线,9,381.38,情侣花享,1
467,1,0,1,电脑,二线,3,919.86,没有促销,0
468,0,1,0,其它,中小,8,496.29,情侣花享,0
469,1,0,0,手机,中小,12,87,没有促销,0
470,1,0,1,手机,一线,4,174.2,情侣花享,1
471,0,1,0,电脑,一线,10,42.77,拼团盛放,0
472,1,0,1,电脑,中小,1,188.86,没有促销,0
473,1,0,1,电脑,二线,1,163.85,拼团盛放,0
474,1,1,1,其它,二线,2,407.3,情侣花享,0
475,1,0,1,手机,一线,6,247.15,情侣花享,0
476,1,0,0,电脑,二线,1,29.99,没有促销,0
477,0,1,0,电脑,一线,11,31.45,拼团盛放,1
478,0,1,0,电脑,一线,2,74.54,拼团盛放,0
479,1,0,1,手机,中小,5,160.22,情侣花享,0
480,0,1,1,其它,一线,4,1011.95,没有促销,0
481,1,0,1,电脑,一线,7,29.99,情侣花享,0
482,1,1,1,手机,一线,1,722.26,拼团盛放,0
483,0,1,0,电脑,一线,10,199.94,没有促销,1
484,1,0,0,手机,一线,7,447.84,情侣花享,0
485,0,1,1,电脑,二线,3,41.89,拼团盛放,0
486,0,1,1,其它,一线,11,350.5,情侣花享,0
487,1,1,1,电脑,二线,2,820.34,拼团盛放,1
