用户码,性别,年龄,城市,入会月数,会员类型,活跃用户,会员积分,总消费,年收入,裂变方案,是否转化
50,女,26,杭州,1,1,1,748,34999.88,95669.7567,疯狂打折,0
51,男,21,杭州,4,2,0,723,4750.86,0,疯狂打折,0
52,男,33,扬州,3,1,0,512,18101.48,217299.9426,买一送一,0
53,男,25,杭州,5,2,0,581,28741.77,95800.4319,买一送一,0
54,男,29,杭州,2,2,1,738,32585.3,0,买一送一,0
55,女,32,扬州,2,1,1,654,9937.46,0,买一送一,1
56,男,41,扬州,4,2,0,731,4263.72,0,买一送一,0
57,女,36,杭州,6,1,1,605,132.09,0,疯狂打折,0
58,女,43,杭州,5,3,1,598,19258.64,0,买一送一,1
59,男,35,杭州,9,1,0,636,32368.4,117438.1491,疯狂打折,0
60,男,25,苏州,10,2,0,558,37717.84,136976.613,买一送一,0
61,女,54,苏州,6,1,0,583,11004.58,142666.2978,买一送一,1
62,男,37,苏州,7,2,0,712,11596.89,115594.1208,买一送一,0
63,男,29,杭州,2,2,0,720,7633.94,0,买一送一,0
64,女,26,杭州,4,2,1,803,34647.89,0,买一送一,0
65,女,35,杭州,8,1,1,706,8065.33,218980.0119,疯狂打折,0
66,男,30,杭州,7,1,0,743,27611.3,95447.0529,疯狂打折,0
67,男,38,扬州,7,2,0,631,34723.87,0,买一送一,0
68,女,28,杭州,6,2,0,605,30498.76,0,疯狂打折,0
69,女,33,杭州,9,1,0,612,27303.53,0,疯狂打折,1
70,女,19,杭州,3,2,1,781,23766.21,0,买一送一,0
71,女,32,杭州,2,1,0,675,18672.78,191465.8713,买一送一,0
72,女,23,杭州,9,1,1,567,15568.95,115032.306,疯狂打折,0
73,男,32,扬州,6,1,0,562,17491.87,198803.2518,买一送一,0
74,男,40,杭州,9,1,1,714,18487.04,57220.4487,买一送一,0
75,男,31,苏州,1,2,0,706,10409.08,143934.6984,买一送一,0
76,男,41,杭州,5,1,1,749,11688,70809.7962,买一送一,0
77,女,39,杭州,2,2,0,574,16914.65,150705.2703,买一送一,0
78,男,37,杭州,2,1,1,596,23169.38,0,疯狂打折,0
79,女,36,杭州,4,2,0,700,25007.48,0,买一送一,0
80,男,34,扬州,10,2,1,567,30893.26,0,疯狂打折,0
81,男,41,杭州,2,2,0,721,32164.38,0,买一送一,0
82,女,38,扬州,3,3,0,684,758.41,165027.255,买一送一,1
83,男,34,扬州,5,1,0,657,5303.63,190630.2954,买一送一,0
84,男,30,苏州,6,2,0,772,37712.81,122735.8944,疯狂打折,0
85,女,41,杭州,2,1,0,599,22127.1,112334.3133,买一送一,0
86,女,48,杭州,2,2,1,559,26378.85,0,疯狂打折,0
87,男,35,杭州,2,2,1,601,22750.13,0,买一送一,0
88,男,62,扬州,3,1,1,640,19438.52,0,买一送一,0
89,男,26,苏州,2,1,1,687,29370.12,175547.4696,买一送一,0
90,男,37,杭州,9,1,1,541,28454.02,261146.2569,疯狂打折,0
91,男,42,苏州,1,1,0,601,7651,121149.7356,买一送一,1
92,女,43,扬州,7,1,1,648,27635.34,99819.1986,买一送一,1
93,女,49,杭州,3,1,0,722,26915.02,206883.1218,买一送一,1
94,男,33,杭州,1,2,1,670,16522.58,0,买一送一,0
95,男,35,杭州,4,1,0,716,25646.77,177647.5101,买一送一,0
96,女,37,苏州,2,1,0,660,13658.48,163836.1107,疯狂打折,0
97,女,37,苏州,1,2,1,776,37491.26,114542.5692,买一送一,0
98,男,33,杭州,9,1,0,644,18293.12,173719.0254,买一送一,0
99,男,33,扬州,10,1,0,681,30274.63,0,疯狂打折,0
100,女,28,苏州,3,2,0,628,21180.88,188851.8999,买一送一,0
101,男,31,苏州,2,1,1,507,31820.96,165111.5961,买一送一,1
102,男,55,杭州,5,1,1,482,14993.52,119701.4475,疯狂打折,0
103,女,38,杭州,6,1,0,658,29764,126560.973,疯狂打折,0
104,女,30,苏州,8,2,1,727,26367.78,146403.5544,买一送一,0
105,女,25,苏州,5,2,0,522,19745.5,115681.4016,买一送一,0
106,女,40,杭州,9,2,1,790,13500.4,0,买一送一,0
107,男,36,扬州,3,1,1,772,35745.38,137796.6909,买一送一,0
108,女,44,扬州,9,2,0,757,33944.34,0,买一送一,0
109,男,22,苏州,7,2,0,566,19549.9,178294.3425,买一送一,0
110,男,31,苏州,6,1,0,581,20485.14,143776.8156,买一送一,0
111,女,47,苏州,9,1,0,516,28606.91,157807.4502,疯狂打折,1
112,女,34,杭州,8,2,1,672,3106.16,0,买一送一,0
113,男,35,杭州,4,1,0,849,24172.04,136330.4079,疯狂打折,0
114,男,34,苏州,2,1,0,674,33596.44,187941.417,买一送一,1
115,男,60,苏州,8,3,0,824,29263.12,165127.7091,疯狂打折,1
116,男,39,苏州,9,2,1,698,10189.19,163825.1637,疯狂打折,0
117,男,28,杭州,5,1,1,674,29048.8,0,买一送一,0
118,男,38,扬州,3,1,0,683,2940.48,155167.9932,疯狂打折,0
119,男,38,扬州,7,1,1,606,37070.46,158151.5796,买一送一,0
120,女,36,杭州,3,1,0,548,12618.91,0,买一送一,0
121,男,34,杭州,5,1,1,653,10099.45,146171.6625,买一送一,0
122,女,55,杭州,6,3,1,576,12913.92,54835.9461,疯狂打折,1
123,女,27,扬州,8,2,0,657,1236.75,0,疯狂打折,0
124,男,39,杭州,7,2,1,675,6934.45,0,疯狂打折,0
125,男,23,杭州,3,1,0,743,18275.99,135550.6371,买一送一,0
126,女,31,杭州,0,1,1,507,8413.21,131538.7584,疯狂打折,0
127,男,30,杭州,3,2,0,701,8746.16,192692.6856,买一送一,0
128,男,25,杭州,0,1,0,732,32997.43,136459.767,疯狂打折,0
129,女,35,杭州,1,2,1,639,26595.43,126708.5976,买一送一,0
130,女,37,苏州,6,1,0,587,36716.25,128429.2569,买一送一,0
131,女,36,扬州,6,2,1,750,11437.17,0,买一送一,0
132,男,47,苏州,1,1,0,713,37768.49,118073.8254,买一送一,0
133,女,52,杭州,1,1,1,549,1651.25,0,疯狂打折,1
134,男,40,杭州,8,2,0,667,18916.15,89722.7067,买一送一,0
135,女,39,杭州,9,2,1,701,27895.77,0,疯狂打折,0
136,男,41,苏州,1,2,1,850,24054.74,217658.9058,疯狂打折,0
137,男,41,扬州,7,1,0,743,31307.09,0,买一送一,1
138,男,42,扬州,8,2,1,728,7996.79,0,疯狂打折,0
139,女,39,苏州,0,2,1,638,18165.92,150676.5744,买一送一,0
140,女,48,杭州,7,2,1,637,25240.12,160892.5977,买一送一,1
141,男,53,扬州,9,1,0,621,6804.6,209704.9632,买一送一,1
142,女,37,杭州,9,2,0,770,4342.39,0,疯狂打折,0
143,男,27,杭州,9,1,0,637,8945.87,158596.4952,买一送一,0
144,男,41,杭州,6,2,1,682,25651.64,0,疯狂打折,1
145,男,29,苏州,4,1,1,752,19680.77,159303.4377,买一送一,0
146,女,33,杭州,8,2,1,602,21592.49,0,买一送一,0
147,男,26,杭州,8,1,0,634,4160.79,0,买一送一,0
148,男,34,苏州,7,1,1,772,23149.75,137226.0693,买一送一,0
149,女,38,杭州,9,2,1,600,11253.5,0,买一送一,0
150,女,36,杭州,8,2,1,709,13322.47,0,买一送一,0
151,女,49,苏州,1,1,0,561,25440.08,125491.1436,买一送一,1
152,女,47,杭州,6,1,1,697,32132.58,157750.7718,买一送一,0
153,男,32,杭州,0,1,1,648,22432.75,0,疯狂打折,0
154,男,58,扬州,1,2,1,801,5828.71,98344.1703,买一送一,0
155,男,29,杭州,0,1,0,582,27249.78,0,买一送一,0
156,女,23,苏州,4,1,1,656,4031.57,201166.0449,疯狂打折,0
157,男,33,杭州,8,1,0,574,19695.27,123328.4469,买一送一,0
158,男,34,杭州,1,1,1,792,16506.75,0,疯狂打折,0
159,男,32,苏州,6,1,0,561,26663.85,205194.2457,买一送一,0
160,男,24,扬州,8,2,0,742,778.25,0,买一送一,0
161,男,63,杭州,4,1,1,714,31869.51,169841.0568,疯狂打折,0
162,女,21,苏州,1,2,1,666,19085.71,149847.7389,买一送一,0
163,女,38,扬州,7,1,0,594,14820.54,119135.7705,买一送一,0
164,男,32,杭州,2,2,1,629,14907.34,0,疯狂打折,0
165,男,43,扬州,9,1,0,640,36536.21,212148.1245,买一送一,1
166,女,31,扬州,4,2,1,689,26120.46,0,买一送一,0
167,男,36,杭州,3,2,1,577,27492.05,148943.7381,疯狂打折,0
168,男,31,杭州,1,2,1,554,36837.58,0,疯狂打折,0
169,女,35,扬州,10,1,0,634,15800.07,0,买一送一,0
170,男,60,苏州,9,2,0,720,30124.68,142582.3626,疯狂打折,1
171,男,36,杭州,6,2,1,698,3677.24,0,疯狂打折,0
172,女,35,杭州,2,1,1,563,12620.79,225794.5932,买一送一,1
173,男,26,苏州,7,2,0,772,15184.32,187452.6273,买一送一,0
174,女,52,苏州,1,1,0,489,7120.47,161673.0573,买一送一,1
175,女,35,杭州,8,2,0,571,16170,0,疯狂打折,0
176,男,40,杭州,9,2,1,594,36497.64,150573.1191,疯狂打折,0
177,女,39,扬州,6,1,1,678,35442.93,0,疯狂打折,0
178,男,47,杭州,0,1,1,535,27913.26,197696.793,疯狂打折,0
179,男,41,苏州,8,2,1,716,26396.02,155159.0142,买一送一,0
180,男,36,杭州,3,1,0,468,20609.44,75813.4731,疯狂打折,0
181,男,33,苏州,9,2,1,686,35188.61,174559.2507,疯狂打折,0
182,男,31,扬州,8,1,1,593,33818.14,138637.4082,买一送一,0
183,男,45,苏州,9,1,0,688,24831.91,127181.8401,疯狂打折,0
184,女,57,杭州,8,2,1,675,18253.01,0,疯狂打折,0
185,女,53,杭州,8,2,1,735,32591.76,152329.7928,疯狂打折,1
186,女,37,苏州,7,1,1,691,18769.1,151373.1849,买一送一,1
187,女,40,扬州,8,1,0,675,27300.95,97214.2185,买一送一,1
188,女,36,扬州,2,2,1,530,2814.87,0,买一送一,0
189,女,48,扬州,6,1,0,726,12298.89,122884.6137,买一送一,0
190,男,29,杭州,7,2,1,726,17561.02,0,买一送一,1
191,男,61,扬州,7,1,1,617,19472.23,112016.6289,买一送一,0
192,男,38,杭州,1,2,0,823,29943.34,0,买一送一,0
193,女,60,杭州,10,1,0,678,28200.71,144818.7363,买一送一,1
194,男,45,扬州,0,1,1,714,35792.38,153372.9804,疯狂打折,0
195,男,33,杭州,2,1,1,696,1345.19,200661.3021,买一送一,0
196,男,37,杭州,8,1,1,701,22950.53,160012.545,买一送一,0
197,男,39,杭州,3,2,0,605,38124.36,0,买一送一,0
198,男,48,杭州,5,1,1,733,22529.74,0,疯狂打折,0
199,男,42,杭州,7,2,0,518,22825.49,185763.2715,买一送一,0
200,女,48,苏州,3,2,0,778,34931.41,125817.3888,买一送一,0
201,男,32,扬州,7,1,1,642,7603.93,123533.574,买一送一,0
202,男,30,扬州,9,2,1,638,20390.62,168274.4919,买一送一,0
203,男,31,杭州,4,2,1,769,1360.99,75395.3715,买一送一,0
204,女,35,杭州,6,1,1,721,590.22,145476.8109,疯狂打折,0
205,男,37,扬州,9,2,0,722,6103.62,0,买一送一,0
206,女,38,扬州,3,2,1,850,34294.6,0,疯狂打折,0
207,男,32,杭州,9,2,0,786,25451.7,0,买一送一,0
208,男,37,杭州,6,1,0,528,37688.71,127640.1135,买一送一,0
209,女,41,苏州,2,1,0,611,31369.33,140474.4132,买一送一,0
210,女,36,杭州,3,2,0,570,17613.52,0,买一送一,0
211,女,36,杭州,0,1,1,664,27952.54,127307.7306,买一送一,0
212,男,35,杭州,9,2,0,573,2245.48,0,买一送一,0
213,女,32,杭州,7,2,1,760,20261.76,0,买一送一,0
214,女,70,扬州,5,1,1,850,134.83,0,买一送一,0
215,男,42,扬州,6,2,0,599,21772.16,0,买一送一,0
216,男,29,苏州,3,1,0,651,10426.48,149924.7738,买一送一,1
217,男,36,杭州,4,2,1,743,36503.06,0,买一送一,0
218,男,40,杭州,6,2,1,623,12642.26,0,买一送一,0
219,男,66,扬州,2,2,1,614,34432.63,0,疯狂打折,0
220,女,29,扬州,4,2,0,584,16991.76,0,买一送一,0
221,男,59,扬州,4,2,1,588,5245.77,0,买一送一,0
222,女,37,扬州,6,2,0,680,17748.82,152692.9011,买一送一,0
223,男,46,杭州,2,1,0,674,17244.68,214882.2915,买一送一,1
224,女,31,杭州,3,1,0,616,11347.3,168250.6422,买一送一,1
225,男,35,扬州,6,1,0,741,19043.14,91476.9327,疯狂打折,0
226,男,41,苏州,5,1,1,648,968.78,151350.5283,疯狂打折,0
227,男,56,扬州,6,1,0,796,23167.22,115904.2899,疯狂打折,1
228,女,47,苏州,6,1,1,706,26922.31,148364.9247,买一送一,0
229,男,44,杭州,10,1,0,656,24367.9,176592.9696,疯狂打折,0
230,女,30,杭州,10,2,1,775,18388.21,235042.8402,买一送一,0
231,男,29,苏州,9,1,1,659,16086.7,101987.2704,买一送一,0
232,女,34,苏州,8,1,0,620,23073.05,125769.4311,买一送一,0
233,男,38,扬州,8,2,0,556,79.81,0,疯狂打折,1
234,女,57,苏州,1,4,0,720,5190.38,199361.2413,疯狂打折,1
235,女,41,杭州,4,1,1,548,10644.75,101594.064,疯狂打折,0
236,男,52,杭州,1,1,0,551,12157.65,0,疯狂打折,1
237,女,38,扬州,1,1,0,698,3242.34,211373.5074,疯狂打折,0
238,男,35,杭州,8,2,1,675,10830.39,0,买一送一,0
239,女,34,杭州,9,1,0,687,38036.29,154333.5612,买一送一,0
240,女,30,杭州,6,1,1,640,35876.14,132224.631,买一送一,0
241,女,35,杭州,2,4,0,850,14431.92,158114.6427,买一送一,1
242,女,27,杭州,6,1,0,564,1495.17,0,疯狂打折,0
243,男,48,扬州,5,1,0,752,29946.15,142753.8984,买一送一,1
244,女,72,杭州,3,1,1,714,16583.86,0,买一送一,0
245,女,66,苏州,9,1,1,571,36189.65,137239.7223,疯狂打折,0
246,男,38,杭州,1,1,1,802,32982.35,175345.2453,买一送一,0
247,男,34,苏州,4,2,0,762,13109.41,109243.1388,买一送一,1
248,男,33,扬州,9,2,0,663,17498.01,0,疯狂打折,0
249,女,27,杭州,5,2,0,455,13532.49,191731.2807,疯狂打折,0
250,男,55,杭州,6,1,0,850,180.57,0,买一送一,1
251,女,35,杭州,2,1,1,682,12186.84,222834.7212,买一送一,1
252,男,41,杭州,1,1,1,576,35998.96,0,买一送一,0
253,男,34,扬州,9,1,1,716,12752.52,0,买一送一,0
254,女,41,扬州,2,2,0,494,36027.94,86068.8318,买一送一,1
255,男,39,苏州,8,2,0,606,6062.81,167280.5535,买一送一,0
256,女,67,扬州,10,1,1,808,32484.58,153229.8945,疯狂打折,0
257,女,43,杭州,6,2,1,653,1401.64,0,买一送一,0
258,男,32,扬州,9,1,1,647,24587.13,99578.7828,买一送一,0
259,女,40,杭州,3,1,0,672,21638.93,0,买一送一,1
260,男,34,扬州,0,1,0,569,19560.19,186762.2898,买一送一,1
261,男,35,杭州,8,2,0,687,1975.91,0,买一送一,0
262,男,32,杭州,6,1,1,632,32578,137254.8759,买一送一,0
263,女,50,苏州,5,2,1,589,6680.92,178220.9115,买一送一,0
264,男,26,杭州,3,2,1,652,32311.61,169737.786,疯狂打折,0
265,男,26,杭州,5,1,0,678,11652.25,136687.4892,买一送一,1
266,女,29,扬州,9,2,1,655,16393.16,0,疯狂打折,0
267,女,46,扬州,8,2,1,606,35127.71,0,买一送一,0
268,女,33,杭州,1,1,0,697,32987.47,107437.671,买一送一,0
269,女,56,苏州,9,1,0,795,5590.68,116049.1962,买一送一,1
270,男,49,扬州,2,1,0,526,21900.51,0,买一送一,1
271,男,31,扬州,6,1,0,699,26462.01,140827.2264,疯狂打折,0
272,男,40,杭州,6,1,1,614,3889.06,0,买一送一,1
273,男,28,苏州,7,1,0,714,33984.14,95664.9597,买一送一,0
274,女,37,苏州,5,2,1,752,25328.4,139347.9915,买一送一,0
275,男,63,苏州,7,1,1,718,19223.47,151542.0024,买一送一,0
276,女,35,杭州,4,2,0,754,8571.83,0,买一送一,0
277,女,47,扬州,6,1,0,686,6133.97,0,买一送一,1
278,女,35,苏州,7,1,0,473,36244.82,161750.8179,买一送一,0
279,男,26,杭州,8,1,0,505,27726.88,138956.2611,买一送一,0
280,女,38,扬州,4,2,0,593,12814.53,109145.8212,买一送一,0
281,女,46,苏州,9,1,0,528,25458.13,166733.4618,买一送一,1
282,男,38,杭州,2,2,1,633,20587.63,113040.1488,买一送一,0
283,男,27,杭州,2,2,1,771,38150.54,0,买一送一,0
284,女,59,苏州,7,2,0,496,31193.34,112766.523,买一送一,1
285,女,42,苏州,2,2,1,787,8465.37,91615.2831,疯狂打折,0
286,女,44,杭州,10,1,1,725,17930.7,0,疯狂打折,0
287,男,32,扬州,5,1,1,618,29606.76,164175.5907,疯狂打折,0
288,男,25,苏州,6,2,1,664,20651.74,212559.6456,买一送一,0
289,女,36,苏州,6,1,1,813,5102.71,120648.3507,疯狂打折,1
290,女,28,杭州,5,1,1,632,27754.86,146235.6963,疯狂打折,0
291,女,35,杭州,6,1,1,767,5338.9,142159.0212,疯狂打折,0
292,女,40,扬州,8,2,0,618,15335.44,0,买一送一,0
293,男,46,苏州,8,1,0,568,12335.9,185529.4116,疯狂打折,1
294,男,32,杭州,0,1,1,694,11464.97,113106.4827,买一送一,0
295,女,49,扬州,2,2,1,594,23559.22,155737.6062,疯狂打折,0
296,男,41,苏州,7,1,1,512,7158.68,150555.9852,疯狂打折,1
297,男,38,扬州,1,2,0,597,7897.37,0,买一送一,0
298,男,32,杭州,9,1,0,654,36341.97,149390.4495,买一送一,1
299,女,36,苏州,0,2,1,558,32956.69,155726.1549,买一送一,0
300,男,38,扬州,9,1,0,794,4511.7,220885.0113,买一送一,0
301,女,32,杭州,1,1,0,600,12303.93,96598.3575,买一送一,0
302,男,57,杭州,3,1,1,757,10168.1,109567.6743,买一送一,1
303,男,41,扬州,5,2,0,826,34595.53,180153.7458,疯狂打折,0
304,女,53,扬州,1,1,1,386,11953.08,162304.7361,买一送一,1
305,男,24,杭州,5,2,0,555,5260.7,0,买一送一,0
306,女,35,扬州,1,2,0,555,19439.19,0,买一送一,0
307,女,26,苏州,1,1,0,676,11516.58,133268.8518,疯狂打折,1
308,男,25,扬州,3,2,1,599,23095.6,0,买一送一,0
309,男,27,杭州,0,2,1,742,25150.08,0,疯狂打折,0
310,男,34,扬州,7,2,0,523,11860.43,0,买一送一,0
311,男,39,杭州,8,1,0,557,34023.83,179826.0123,买一送一,0
312,男,39,苏州,4,1,0,800,2658.95,117160.8456,买一送一,0
313,男,29,扬州,2,1,1,577,32299.12,0,买一送一,0
314,女,46,苏州,7,1,1,706,28522.03,136884.4614,买一送一,1
315,女,37,杭州,5,1,0,601,3959.57,0,疯狂打折,0
316,男,42,杭州,5,2,0,608,34130.83,0,买一送一,0
317,女,27,杭州,1,1,1,666,12334.88,104827.0083,疯狂打折,0
318,女,27,杭州,5,1,0,613,38069.69,153956.3202,买一送一,0
319,女,46,扬州,3,1,0,693,34557.59,186602.4759,买一送一,0
320,男,41,扬州,9,1,1,696,36599.88,156854.2125,疯狂打折,0
321,女,35,杭州,2,1,1,617,28228.76,128544.963,买一送一,0
322,女,52,杭州,9,2,0,576,28389.59,209381.1657,疯狂打折,1
323,女,29,杭州,6,1,1,547,7105.21,128474.5578,买一送一,0
324,男,42,扬州,5,1,0,587,37263.92,147887.6109,买一送一,0
325,女,41,杭州,9,1,1,731,16975.82,187259.5911,买一送一,0
326,男,29,苏州,7,1,0,607,31215.57,126209.07,买一送一,0
327,女,37,苏州,8,1,0,545,26013.46,141147.5184,买一送一,1
328,男,44,杭州,3,1,0,720,34442.61,105905.7921,买一送一,1
329,女,25,苏州,3,1,0,546,25171.56,163390.371,买一送一,0
330,男,42,杭州,4,2,0,620,1191.64,0,买一送一,0
331,男,36,杭州,5,1,1,683,23385.45,141881.2749,买一送一,0
332,男,36,苏州,2,1,1,756,32512.8,168283.2372,买一送一,0
333,男,38,扬州,8,2,1,539,1926.2,87896.6241,买一送一,0
334,女,44,扬州,0,2,0,496,558.16,220608.2244,买一送一,1
335,女,41,扬州,7,1,0,614,2804.27,221296.4955,疯狂打折,1
336,男,45,杭州,7,1,1,815,10111.89,0,疯狂打折,1
337,女,31,扬州,6,1,0,469,27956.73,0,买一送一,1
338,男,46,杭州,0,2,0,668,5619.12,0,疯狂打折,0
339,女,32,杭州,3,2,1,484,26652.19,0,买一送一,0
340,男,39,杭州,7,2,0,541,3790.25,0,买一送一,0
341,女,33,苏州,0,1,0,548,8173.96,124333.7628,买一送一,0
342,男,45,苏州,9,1,1,710,36056.22,133124.5851,买一送一,0
343,女,43,杭州,3,2,0,850,471.47,0,疯狂打折,0
344,男,41,苏州,0,1,1,579,1759.37,174352.1064,疯狂打折,0
345,女,54,扬州,5,2,0,567,30323.26,113549.0613,买一送一,1
346,男,38,扬州,1,2,1,533,29245.95,166405.8759,疯狂打折,0
347,女,70,扬州,1,2,1,788,7956.14,0,买一送一,0
348,男,40,扬州,6,2,0,786,7886.95,0,疯狂打折,0
349,男,41,扬州,5,2,0,562,16402.92,203497.3992,买一送一,0
350,女,36,扬州,5,1,0,526,11111.22,112092.5814,疯狂打折,0
351,女,40,扬州,6,1,1,838,28806.75,75855.5637,疯狂打折,1
352,女,38,杭州,3,1,1,568,23802.34,163530.8616,疯狂打折,0
353,女,42,杭州,7,2,1,559,36336.57,0,买一送一,0
354,男,25,扬州,2,1,1,714,25426.27,0,买一送一,0
355,男,24,杭州,1,2,1,572,28960,0,买一送一,0
356,男,27,杭州,7,2,0,698,21313.87,0,买一送一,0
357,男,37,扬州,9,1,1,469,22923.68,119035.0827,买一送一,0
358,男,38,扬州,0,1,0,635,30276.21,127006.2822,疯狂打折,0
359,男,31,扬州,9,1,1,738,3557.59,97194.354,买一送一,0
360,女,36,苏州,4,1,1,584,13430.36,134865.6009,买一送一,0
361,男,33,扬州,8,2,1,606,12079.68,0,买一送一,0
362,女,26,杭州,0,2,1,779,21396.94,0,疯狂打折,0
363,男,32,扬州,6,2,1,671,28037.56,152412.7194,买一送一,0
364,男,31,杭州,7,1,0,622,6770.31,0,买一送一,0
365,女,34,扬州,9,2,0,786,22377.49,0,买一送一,0
366,女,39,扬州,6,2,1,614,31361.18,0,买一送一,0
367,女,38,扬州,5,2,1,733,243.11,0,买一送一,0
368,男,36,杭州,9,2,1,519,27832.19,0,疯狂打折,0
369,男,31,杭州,7,3,1,761,31873.45,0,买一送一,0
370,男,30,杭州,7,2,0,646,29362.7,0,买一送一,0
371,男,35,苏州,1,2,1,603,24929.15,129575.6169,买一送一,0
372,男,38,苏州,10,1,0,628,8803.91,139636.7832,买一送一,1
373,女,35,苏州,4,1,0,536,14756.86,149470.0428,疯狂打折,0
374,男,40,杭州,0,1,0,717,21202.13,120836.4792,买一送一,0
375,男,56,杭州,9,1,1,794,13724.04,119249.9883,买一送一,0
376,男,35,苏州,7,2,1,497,17760.43,135365.9526,买一送一,0
377,男,71,苏州,9,2,1,780,23423.85,175336.8075,买一送一,0
378,男,38,杭州,8,1,0,653,28770.23,146758.3725,买一送一,0
379,男,32,苏州,5,1,1,728,29851.8,76045.365,买一送一,0
380,男,30,杭州,8,2,0,792,38172.88,0,买一送一,0
381,女,32,杭州,7,1,0,600,25425.08,121619.8785,买一送一,0
382,男,36,扬州,8,2,0,657,35001.62,231536.4915,疯狂打折,1
383,男,37,杭州,3,1,1,778,34306.27,174418.6371,疯狂打折,0
384,男,27,扬州,9,1,0,604,5784.37,124663.9194,疯狂打折,0
385,男,45,杭州,8,1,1,559,32462.99,29573.4435,疯狂打折,1
386,男,31,扬州,4,1,0,720,26383.49,173868.4581,疯狂打折,0
387,男,34,扬州,7,1,1,745,6080.86,163521.7719,买一送一,0
388,男,54,杭州,8,1,1,768,13265.97,85746.6702,买一送一,0
389,女,35,杭州,2,2,1,615,26733.47,119851.2246,买一送一,0
390,女,60,扬州,7,2,1,525,32129.04,0,疯狂打折,0
391,女,33,苏州,2,2,1,746,27952.65,132677.8122,买一送一,0
392,男,36,杭州,6,1,1,679,32983.05,181712.3772,疯狂打折,0
393,男,37,扬州,6,1,1,590,24523.17,208980.5916,买一送一,0
394,男,24,扬州,8,1,1,561,34595.11,176697.5565,疯狂打折,0
395,男,59,苏州,2,1,0,662,1541,128619.1443,买一送一,1
