用户码,性别,玫瑰套餐,紫罗兰套餐,郁金香套餐,百合套餐,康乃馨套餐,胡姬花套餐,生日套餐,情人节套餐,会员卡类型,入会月数,会费支付方式,平均月消费,总消费,已停付会费
72,男,是,否,否,是,是,是,是,是,月卡,21,就餐时付费,111.2,2317.1,是
73,男,是,是,是,是,是,否,否,否,月卡,37,微信自动扣款,40.2,1448.8,是
74,女,否,否,是,否,否,否,是,否,月卡,26,花呗付款,85.8,2193.65,否
75,男,否,否,是,否,否,是,否,否,年卡,50,手工转账,35.4,1748.9,否
76,女,否,否,否,否,否,否,否,否,月卡,7,就餐时付费,73.85,511.25,是
77,女,是,是,是,是,是,是,是,是,双年卡,61,手工转账,88.1,5526.75,否
78,男,否,否,否,否,是,是,是,是,月卡,15,就餐时付费,101.35,1553.95,是
79,女,否,是,是,否,否,是,否,是,月卡,26,手工转账,45.8,1147,否
80,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,44,微信自动扣款,20.5,865.05,否
81,男,是,否,否,否,是,否,是,是,月卡,72,就餐时付费,94.65,6747.35,否
82,男,否,否,否,是,否,否,否,是,月卡,66,花呗付款,89.4,5976.9,否
83,女,否,否,是,是,否,是,否,否,月卡,2,就餐时付费,86.25,181.65,是
84,女,否,否,否,否,是,是,是,是,年卡,44,微信自动扣款,74.85,3268.05,否
85,女,否,否,否,是,否,否,是,否,月卡,12,微信自动扣款,89.75,1052.4,是
86,男,是,否,否,是,是,是,是,是,双年卡,69,就餐时付费,109.95,7634.25,否
87,女,否,否,否,是,否,否,否,否,月卡,1,手工转账,80.2,80.2,是
88,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,3,手工转账,19.85,63.75,是
89,女,是,否,是,是,否,否,是,否,月卡,2,就餐时付费,90.35,190.5,否
90,女,否,否,否,是,是,否,否,否,月卡,27,微信自动扣款,86.45,2401.05,否
91,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,26,就餐时付费,20.3,511.25,否
92,女,是,否,否,否,否,是,是,是,月卡,39,就餐时付费,101.25,3949.15,否
93,男,否,否,否,否,否,否,是,是,月卡,25,微信自动扣款,94.7,2362.1,是
94,女,否,否,否,否,否,否,否,否,月卡,1,手工转账,70.9,70.9,是
95,男,是,否,是,否,否,是,否,否,月卡,22,就餐时付费,54.2,1152.7,是
96,女,否,否,是,是,是,是,是,是,双年卡,72,就餐时付费,114.9,8496.7,否
97,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,24,微信自动扣款,19.55,470.2,否
98,女,是,否,否,否,否,否,是,否,月卡,19,就餐时付费,86.85,1564.4,否
99,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,71,花呗付款,25.35,1847.55,否
100,男,是,否,是,否,是,是,是,是,月卡,33,微信自动扣款,109.9,3694.7,否
101,男,是,是,否,是,否,否,是,否,月卡,47,就餐时付费,87.2,4017.45,否
102,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,3,手工转账,19.95,58,否
103,男,是,是,是,是,是,是,是,是,双年卡,62,手工转账,108.15,6825.65,否
104,男,否,否,是,是,是,是,是,是,年卡,71,微信自动扣款,116.3,8309.55,否
105,女,是,是,是,否,否,否,否,否,月卡,27,手工转账,74.4,1972.35,否
106,男,是,否,否,否,否,否,是,是,月卡,7,就餐时付费,89,605.45,否
107,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,2,手工转账,20.05,33.7,否
108,男,否,否,是,是,否,否,是,是,月卡,30,就餐时付费,74.75,2111.3,否
109,女,否,是,是,否,否,是,否,否,双年卡,25,微信自动扣款,35.05,844.45,否
110,女,是,否,是,是,否,是,是,是,年卡,58,花呗付款,105.5,6205.5,是
111,男,是,否,否,否,否,否,否,是,月卡,10,就餐时付费,85.25,855.3,是
112,女,否,否,否,否,否,否,否,否,月卡,9,花呗付款,75.2,633.85,否
113,女,是,否,否,否,否,否,否,是,月卡,6,就餐时付费,84.35,474.9,是
114,女,是,是,是,否,是,否,否,否,年卡,69,微信自动扣款,84.45,5848.6,否
115,女,否,否,是,是,是,是,是,是,年卡,70,花呗付款,115.55,8127.6,是
116,女,否,否,是,否,否,否,是,是,双年卡,66,微信自动扣款,102.4,6471.85,否
117,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,25,微信自动扣款,25.3,676.35,是
118,女,是,否,是,是,是,是,是,是,年卡,54,手工转账,114.65,6049.5,否
119,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,46,手工转账,19.25,864.2,否
120,女,否,否,是,否,是,是,是,是,月卡,15,就餐时付费,105.1,1582.75,是
121,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,12,微信自动扣款,19.4,198.1,否
122,女,否,否,否,是,否,否,是,是,月卡,22,就餐时付费,50.35,1098.85,否
123,女,是,否,否,是,是,是,是,是,双年卡,70,微信自动扣款,57.8,4039.3,否
124,男,否,否,是,是,是,否,否,否,月卡,30,花呗付款,84.3,2438.6,否
125,男,是,是,否,是,否,否,是,是,年卡,71,微信自动扣款,100.55,7113.75,否
126,男,是,是,否,是,是,否,否,否,月卡,4,微信自动扣款,84.8,371.9,是
127,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,30,花呗付款,19.8,576.65,否
128,男,否,否,否,否,是,否,否,是,月卡,2,就餐时付费,85.85,167.3,是
129,男,否,否,是,否,否,否,否,否,月卡,4,就餐时付费,75.35,273.4,否
130,男,否,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,10,微信自动扣款,19.95,219.5,否
131,男,否,否,是,否,否,否,是,是,月卡,52,花呗付款,48.8,2555.05,否
132,女,否,否,否,否,否,否,否,否,月卡,2,就餐时付费,44.3,89.3,否
133,男,否,否,否,否,否,否,否,否,月卡,5,就餐时付费,47.15,223.15,是
134,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,8,手工转账,20.15,165.5,否
135,男,否,否,否,是,否,否,否,是,月卡,3,就餐时付费,84.3,235.05,否
136,男,否,否,否,否,是,是,否,否,月卡,19,就餐时付费,59.55,1144.6,否
137,男,否,否,是,是,是,是,否,否,双年卡,72,微信自动扣款,69.65,4908.25,否
138,男,是,否,是,是,是,是,是,否,双年卡,66,微信自动扣款,56.6,3789.2,否
139,男,是,否,是,否,否,是,否,否,年卡,63,微信自动扣款,36.1,2298.9,否
140,男,否,否,否,否,否,是,否,否,月卡,1,就餐时付费,75.9,75.9,是
141,女,否,否,否,否,是,否,否,否,年卡,60,微信自动扣款,79.2,4765,否
142,女,是,是,是,否,是,否,否,是,年卡,48,花呗付款,45,2196.3,否
143,女,否,否,否,否,是,否,是,否,月卡,1,花呗付款,85.55,85.55,是
144,男,否,否,否,否,否,否,是,是,月卡,15,就餐时付费,93.35,1444.65,是
145,女,是,否,是,是,否,是,是,是,月卡,50,微信自动扣款,109.65,5405.8,否
146,男,是,是,是,是,是,是,是,是,双年卡,72,花呗付款,89.7,6339.3,否
147,女,否,否,是,是,否,否,否,否,月卡,46,手工转账,84.25,3847.6,否
148,女,是,是,是,是,是,是,是,是,双年卡,72,微信自动扣款,92.65,6733,否
149,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,手工转账,19.7,19.7,否
150,女,否,否,否,否,否,否,否,否,月卡,1,就餐时付费,50.1,50.1,否
151,女,否,否,是,是,否,是,是,否,双年卡,67,微信自动扣款,92.45,6140.85,否
152,女,是,是,否,是,否,是,是,是,双年卡,48,就餐时付费,79.65,3870.3,否
153,男,是,否,是,是,是,是,否,是,年卡,52,花呗付款,81.4,4354.45,否
154,女,否,否,是,是,是,是,是,是,双年卡,72,就餐时付费,109.9,7624.2,否
155,女,是,是,否,是,否,否,否,否,年卡,67,花呗付款,50.55,3431.75,否
156,女,是,是,否,否,否,否,否,是,月卡,28,就餐时付费,81.05,2227.1,是
157,女,是,否,是,否,否,否,否,否,月卡,27,微信自动扣款,75.2,1929.35,是
158,女,是,是,否,是,是,否,否,否,月卡,32,微信自动扣款,62.45,2045.55,否
159,男,否,否,否,是,是,否,否,是,月卡,3,就餐时付费,90.4,268.45,否
160,男,否,否,否,否,否,否,是,否,月卡,2,就餐时付费,85.65,181.5,是
161,女,否,是,否,否,是,是,是,是,月卡,9,手工转账,72.9,651.4,是
162,男,是,是,是,否,否,是,是,否,双年卡,50,花呗付款,70.5,3486.65,否
163,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,71,微信自动扣款,20.1,1389.6,否
164,男,是,否,否,否,否,否,否,否,月卡,32,就餐时付费,74.9,2303.35,是
165,女,是,是,是,否,是,否,是,是,月卡,16,微信自动扣款,100.7,1522.7,否
166,女,是,是,否,否,是,是,是,是,双年卡,67,微信自动扣款,105.65,6717.9,否
167,男,是,是,是,是,是,是,是,是,双年卡,72,花呗付款,114.3,8058.55,否
168,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,3,就餐时付费,19.75,58.85,是
169,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,23,手工转账,24.35,538.5,否
170,男,是,是,是,是,是,是,否,否,双年卡,72,微信自动扣款,69.85,5102.35,否
171,男,是,是,是,是,是,否,是,是,月卡,7,手工转账,58.85,465.7,否
172,男,是,是,否,否,否,是,是,是,双年卡,66,微信自动扣款,50.55,3364.55,否
173,男,是,是,否,否,否,否,是,否,月卡,8,就餐时付费,54.4,475.1,否
174,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,5,手工转账,21.05,113.85,是
175,男,否,否,否,是,是,否,是,是,月卡,49,微信自动扣款,103.7,5036.3,是
176,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,63,微信自动扣款,19.95,1234.8,否
177,女,是,是,否,否,否,是,否,否,月卡,12,手工转账,29.3,355.9,否
178,男,是,是,是,是,否,否,否,否,月卡,27,花呗付款,54.75,1510.3,否
179,女,否,否,是,是,是,否,否,否,月卡,35,就餐时付费,60.55,1982.6,否
180,女,是,是,否,是,是,是,是,是,月卡,54,就餐时付费,86.2,4524.05,否
181,男,否,否,否,否,是,是,是,否,月卡,5,花呗付款,63.95,318.1,否
182,男,否,否,否,否,否,否,是,是,月卡,1,就餐时付费,95.45,95.45,是
183,男,否,否,否,是,否,是,否,是,年卡,19,微信自动扣款,65.35,1231.85,否
184,男,是,是,否,是,是,是,是,否,双年卡,52,手工转账,50.2,2554,否
185,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,32,微信自动扣款,20.05,614.45,否
186,女,是,是,是,是,是,是,是,是,双年卡,72,微信自动扣款,63.8,4684.3,否
187,女,是,否,否,是,是,否,是,是,月卡,8,就餐时付费,101.15,842.9,是
188,男,否,否,否,否,是,否,否,是,年卡,41,手工转账,65,2531.8,否
189,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,5,手工转账,19.25,86.05,否
190,女,否,是,是,否,否,是,否,否,年卡,11,手工转账,36.05,402.6,否
191,男,否,否,否,否,否,是,是,是,月卡,5,就餐时付费,96.1,453.4,是
192,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,16,手工转账,19.05,326.65,否
193,女,否,否,否,是,是,是,否,否,年卡,11,花呗付款,40.4,422.6,否
194,男,否,否,否,是,否,是,是,是,年卡,71,微信自动扣款,105.75,7382.85,否
195,女,是,否,是,是,是,是,是,是,年卡,71,微信自动扣款,84.8,6046.1,否
196,女,是,是,否,是,否,否,是,是,月卡,61,就餐时付费,99.15,6010.05,是
197,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,9,手工转账,19.85,178.8,否
198,女,否,否,否,否,否,否,是,是,月卡,26,微信自动扣款,88.8,2274.35,是
199,女,否,否,是,否,否,否,否,否,月卡,6,就餐时付费,49.45,314.6,否
200,女,否,否,是,是,否,否,否,否,月卡,6,手工转账,55.15,322.9,否
201,男,否,否,否,否,是,否,否,是,月卡,11,就餐时付费,84.8,888.75,否
202,女,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,49,微信自动扣款,20.15,973.35,否
203,男,是,否,否,否,否,否,是,否,月卡,1,就餐时付费,80.55,80.55,是
204,女,是,是,否,是,否,否,是,否,月卡,3,花呗付款,58.7,168.6,否
205,男,是,是,是,否,否,是,是,是,月卡,23,就餐时付费,99.85,2331.3,是
206,女,否,否,是,是,是,是,否,是,双年卡,53,手工转账,99.5,5424.25,否
207,男,否,否,是,否,否,否,否,否,月卡,1,手工转账,48.55,48.55,是
208,男,否,否,否,否,否,否,否,否,月卡,2,就餐时付费,45.35,89.5,是
209,男,否,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,3,手工转账,26.4,121.25,否
210,女,是,否,否,是,否,否,是,是,月卡,68,就餐时付费,100.2,6851.65,是
211,男,否,否,否,否,是,否,是,是,月卡,8,就餐时付费,94.7,740.3,是
212,女,是,否,否,否,是,否,是,是,年卡,70,就餐时付费,97.65,6982.5,否
213,男,是,是,否,否,是,否,是,是,年卡,39,就餐时付费,100,3835.55,否
214,女,否,否,否,否,否,否,否,否,月卡,1,就餐时付费,70.1,70.1,是
215,女,否,否,否,是,否,是,是,是,月卡,3,就餐时付费,97.9,315.3,是
216,女,是,否,否,否,否,否,否,否,月卡,5,就餐时付费,69.95,330.15,是
217,男,是,否,否,是,是,否,是,是,年卡,60,微信自动扣款,102.5,6157.6,否
218,男,否,否,否,是,否,否,否,否,月卡,3,就餐时付费,81.35,233.7,是
219,女,是,否,是,是,否,是,否,否,年卡,55,花呗付款,66.05,3462.1,否
220,男,是,否,是,是,是,是,是,否,双年卡,72,微信自动扣款,74.4,5360.75,否
221,男,否,否,是,否,是,是,是,是,双年卡,72,花呗付款,61.2,4390.25,否
222,女,否,否,否,是,是,否,是,是,月卡,41,就餐时付费,106.3,4443.45,是
223,男,否,否,是,是,是,否,否,否,双年卡,60,微信自动扣款,39.6,2424.5,否
224,女,是,否,否,是,是,是,是,是,双年卡,46,花呗付款,108.9,4854.3,否
225,女,否,否,否,否,否,否,是,是,月卡,6,就餐时付费,89.3,577.6,是
226,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,15,手工转账,19.9,320.45,否
227,女,是,否,否,否,是,是,是,是,月卡,58,花呗付款,102.1,5885.4,是
228,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,23,花呗付款,19.6,426.65,否
229,女,是,是,否,否,是,是,是,是,月卡,31,就餐时付费,98.9,2911.3,是
230,女,否,否,否,是,是,是,是,否,双年卡,56,微信自动扣款,99.9,5706.3,否
231,男,是,否,否,否,否,否,否,否,月卡,11,微信自动扣款,45.9,521.9,否
232,女,否,是,否 ,否 ,否 ,否 ,否 ,否 ,月卡,25,花呗付款,20.05,471.7,否
233,女,否,否,是,是,是,是,是,是,双年卡,68,花呗付款,64.35,4539.6,否
234,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,40,花呗付款,19.65,830.25,否
235,男,否,否,否,否,否,否,否,是,月卡,36,就餐时付费,84.9,3067.2,是
236,男,是,是,是,是,是,是,是,是,双年卡,71,微信自动扣款,86.85,6263.8,否
237,男,否,否,是,是,否,是,是,是,月卡,32,花呗付款,108.15,3432.9,是
238,男,是,否,否,是,是,否,是,是,月卡,17,就餐时付费,102.55,1742.5,否
239,男,是,否,否,否,是,是,否,否,月卡,18,就餐时付费,78.2,1468.75,否
240,女,否,否,是,是,是,否,否,否,月卡,37,微信自动扣款,91.2,3382.3,否
241,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,2,手工转账,19.35,46.35,否
242,女,是,是,否,否,否,否,否,否,年卡,28,微信自动扣款,70.4,1992.2,否
243,男,否,否,是,是,是,否,否,否,年卡,9,手工转账,39.55,373,否
244,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,65,花呗付款,20.4,1414.45,否
245,女,否,否,是,否,否,否,否,否,月卡,1,就餐时付费,50.15,50.15,否
246,女,否,否,否,否,否,否,否,否,月卡,3,就餐时付费,44.6,122.7,否
247,女,否,否,否,否,否,否,是,否,月卡,1,就餐时付费,34.7,34.7,是
248,男,否,否,否,否,否,是,是,否,月卡,23,就餐时付费,90.6,1943.2,是
249,男,是,否,是,否,否,否,是,是,月卡,36,就餐时付费,93.6,3366.05,否
250,男,是,是,是,是,否,是,否,否,月卡,22,手工转账,57.95,1271.8,否
251,女,是,否,是,是,是,是,是,是,双年卡,72,花呗付款,112.1,7965.95,否
252,男,是,否,是,是,是,否,否,否,年卡,58,花呗付款,60.3,3563.8,是
253,女,否,否,否,否,否,是,否,是,月卡,3,就餐时付费,85.8,272.2,是
254,女,是,是,否,否,是,否,是,否,月卡,17,就餐时付费,88.25,1460.65,是
255,男,是,是,是,是,是,否,是,是,双年卡,67,花呗付款,81.35,5398.6,否
256,男,否,否,否,是,是,否,是,是,年卡,34,就餐时付费,99.85,3343.15,否
257,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,10,花呗付款,20,198.7,否
258,女,否,否,是,否,是,是,是,是,双年卡,69,花呗付款,85.35,5897.4,否
259,男,否,否,是,否,是,否,否,是,月卡,20,花呗付款,64.4,1398.6,否
260,男,否,否,是,是,是,否,是,是,年卡,40,花呗付款,62.05,2511.55,否
261,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,46,手工转账,19.4,967.85,否
262,女,是,否,是,否,否,否,否,否,月卡,2,就餐时付费,74.4,139.4,是
263,女,是,否,否,否,否,否,否,否,月卡,1,手工转账,70.45,70.45,是
264,女,是,否,是,否,是,否,是,是,双年卡,72,花呗付款,105,7589.8,否
265,男,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,70,花呗付款,25.15,1790.15,否
266,男,是,否,否,否,否,否,是,是,月卡,36,就餐时付费,95.4,3474.2,否
267,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,2,手工转账,19.3,44.4,否
268,男,否,是,否,是,否,是,否,否,月卡,23,微信自动扣款,55.3,1284.2,否
269,男,是,否,否,否,否,否,是,是,月卡,59,微信自动扣款,93.85,5574.75,是
270,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,67,微信自动扣款,20.5,1430.95,否
271,男,是,是,是,否,是,否,是,是,双年卡,72,微信自动扣款,105.55,7542.25,否
272,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,72,微信自动扣款,24.45,1709.1,否
273,女,否,否,否,是,是,否,是,是,月卡,37,微信自动扣款,101.9,3545.35,是
274,男,否,否,否,否,否,否,否,否,月卡,3,就餐时付费,74.4,229.55,是
275,男,是,否,否 ,否 ,否 ,否 ,否 ,否 ,双年卡,72,花呗付款,19.7,1421.9,否
276,女,是,否,否,是,否,否,是,是,年卡,54,花呗付款,101.5,5373.1,是
277,男,是,否,否,是,是,否,是,否,月卡,60,就餐时付费,95.75,5742.9,是
278,女,是,否,是,是,是,否,是,是,年卡,58,花呗付款,110.65,6526.65,否
279,女,是,否,否,是,否,否,否,是,月卡,31,微信自动扣款,83.85,2674.15,否
280,女,否,否,否,否,否,否,是,否,月卡,3,就餐时付费,60.25,170.5,否
281,男,否,否,是,否,是,是,否,否,双年卡,55,就餐时付费,59.2,3175.85,否
282,女,否,否,否,否,否,否,否,否,月卡,1,手工转账,44.4,44.4,是
283,男,是,否,否,是,否,否,是,否,月卡,49,花呗付款,85.3,4297.95,否
284,男,否,是,否,否,否,否,否,否,月卡,8,手工转账,25.5,215.2,是
285,女,否,否,否,否,是,否,是,是,月卡,39,就餐时付费,99.75,4036,否
286,男,是,否,是,是,是,否,否,否,双年卡,66,花呗付款,66.1,4428.45,否
287,女,是,是,否 ,否 ,否 ,否 ,否 ,否 ,年卡,15,手工转账,20.55,295.95,否
288,女,是,否,否,否,是,否,是,是,年卡,51,就餐时付费,98.85,4947.55,否
289,男,否,否,否,否,否,是,否,否,月卡,9,手工转账,49.2,447.9,否
290,女,否,否,否 ,否 ,否 ,否 ,否 ,否 ,月卡,1,手工转账,20.9,20.9,是
291,男,是,否,否,否,是,否,是,否,月卡,22,微信自动扣款,87,1850.65,否
292,男,否,否,否 ,否 ,否 ,否 ,否 ,否 ,年卡,25,微信自动扣款,19.5,516.3,否
293,男,否,否,否,否,否,否,否,否,月卡,15,就餐时付费,49,749.25,否
294,女,是,是,否,否,否,否,是,是,年卡,28,微信自动扣款,90.1,2598.95,是
295,男,否,否,否,否,否,否,是,是,月卡,3,手工转账,90.7,237.65,否
296,女,是,否,否,否,是,否,是,是,月卡,47,就餐时付费,100.5,4707.1,否
297,女,否,否,是,否,是,是,是,是,双年卡,67,手工转账,85.25,5714.2,否
298,女,否,否,否,是,否,否,否,否,月卡,18,就餐时付费,74.7,1294.6,否
299,女,否,否,否,否,否,否,否,否,月卡,44,手工转账,50.15,2139.1,否
300,女,否,否,否,是,是,是,否,是,年卡,53,花呗付款,94.45,5042.75,否
301,男,是,否,否,是,是,是,否,否,双年卡,62,花呗付款,60.15,3753.2,否
302,女,否,否,否,是,是,否,是,是,年卡,41,就餐时付费,80.55,3263.9,否
